Statistiche Fantacalcio Stagione 2018 19,,,,,,,,,,,,,,,,,
Id,R,Rm,Nome,Squadra,Pv,Mv,Fm,Gf,Gs,Rp,Rc,R+,R-,Ass,Amm,Esp,Au
350,P,Por,Donnarumma G.,Milan,35,6.33,5.47,0,31,1,0,0,0,0,4,0,0
453,P,Por,Szczesny,Juventus,28,6.14,5.54,0,20,1,0,0,0,0,0,0,0
250,P,Por,Handanovic,Inter,38,6.18,5.32,0,33,0,0,0,0,0,0,0,0
2179,P,Por,Sirigu,Torino,36,6.35,5.53,0,35,2,0,0,0,0,1,0,0
509,P,Por,Consigli,Sassuolo,36,6.25,4.89,0,56,3,0,0,0,0,2,1,0
572,P,Por,Meret,Napoli,14,6.18,5.46,0,9,0,0,0,0,0,0,1,0
1934,P,Por,Strakosha,Lazio,35,6.17,5.09,0,39,1,0,0,0,0,4,0,0
2178,P,Por,Cragno,Cagliari,38,6.45,5.17,0,54,2,0,0,0,0,1,0,0
1843,P,Por,Radu I.,Genoa,33,6.3,5,0,46,1,0,0,0,0,0,0,0
2387,P,Por,Lafont,Fiorentina,34,6.01,4.84,0,40,1,0,0,0,0,2,0,1
2792,P,Por,Musso,Udinese,29,6.26,4.81,0,40,0,0,0,0,0,4,0,0
41,P,Por,Mirante,Roma,11,6.55,6.27,0,6,1,0,0,0,0,0,0,0
133,P,Por,Skorupski,Bologna,38,6.11,4.62,0,56,0,0,0,0,0,1,0,0
484,P,Por,Viviano,SPAL,17,6.29,4.82,0,25,0,0,0,0,0,0,0,0
610,P,Por,Gollini,Atalanta,20,6.22,5.15,0,21,0,0,0,0,0,1,0,0
761,P,Por,Audero,Sampdoria,36,6.04,4.65,0,51,1,0,0,0,0,4,0,0
2836,P,Por,Olsen,Roma,27,6,4.41,0,42,0,0,0,0,0,2,0,0
413,P,Por,Sorrentino,Chievo,31,6.29,4.52,0,60,2,0,0,0,0,2,0,0
1917,P,Por,Dragowski,Empoli,17,6.44,5.03,0,26,1,0,0,0,0,2,0,0
159,P,Por,Sepe,Parma,37,6.09,4.43,0,59,0,0,0,0,0,1,0,1
316,P,Por,Berisha,Atalanta,18,5.97,4.56,0,25,0,0,0,0,0,1,0,0
540,P,Por,Gomis A.,SPAL,20,6.05,4.7,0,27,0,0,0,0,0,0,0,0
2468,P,Por,Ospina,Napoli,17,6.06,4.88,0,20,0,0,0,0,0,0,0,0
4,P,Por,Sportiello,Frosinone,35,6.11,4.21,0,64,0,0,0,0,0,5,0,0
2815,P,Por,Terracciano,Fiorentina,10,6.35,5.05,0,13,0,0,0,0,0,0,0,0
218,P,Por,Perin,Juventus,9,5.89,4.94,0,8,0,0,0,0,0,1,0,0
318,P,Por,Marchetti,Genoa,4,5.75,3.12,0,10,0,0,0,0,0,1,0,0
387,P,Por,Reina,Milan,4,6.38,5.12,0,5,0,0,0,0,0,0,0,0
570,P,Por,Karnezis,Napoli,9,6.11,5.33,0,7,0,0,0,0,0,0,0,0
2814,P,Por,Provedel,Empoli,16,5.84,3.59,0,36,0,0,0,0,0,0,0,0
2861,P,Por,Semper,Chievo,6,6.25,4.92,0,8,0,0,0,0,0,0,0,0
386,P,Por,Rafael Cabral,Sampdoria,2,6,6,0,0,0,0,0,0,0,0,0,0
542,P,Por,Ichazo,Torino,3,5.67,5,0,2,0,0,0,0,0,0,0,0
574,P,Por,Scuffet,Udinese,9,6.11,4.67,0,13,0,0,0,0,0,0,0,0
4325,P,Por,Jandrei,Genoa,1,6.5,5.5,0,1,0,0,0,0,0,0,0,0
510,P,Por,Pegolo,Sassuolo,3,6,4.5,0,4,0,0,0,0,0,1,0,0
799,P,Por,Bardi,Frosinone,3,6,4.33,0,5,0,0,0,0,0,0,0,0
2170,P,Por,Milinkovic-Savic V.,SPAL,2,5.75,3.25,0,4,0,0,0,0,0,0,1,0
40,P,Por,Da Costa,Bologna,0,0,0,0,0,0,0,0,0,0,0,0,0
97,P,Por,Seculin,Chievo,2,5.75,2.25,0,7,0,0,0,0,0,0,0,0
216,P,Por,Donnarumma An.,Milan,0,0,0,0,0,0,0,0,0,0,0,0,0
248,P,Por,Berni,Inter,0,0,0,0,0,0,0,0,0,0,0,0,0
317,P,Por,Guerrieri,Lazio,1,5.5,2.5,0,3,0,0,0,0,0,0,0,0
385,P,Por,Gabriel,Milan,0,0,0,0,0,0,0,0,0,0,0,0,0
543,P,Por,Padelli,Inter,0,0,0,0,0,0,0,0,0,0,0,0,0
611,P,Por,Rafael,Cagliari,0,0,0,0,0,0,0,0,0,0,0,0,0
673,P,Por,Perisan,Udinese,0,0,0,0,0,0,0,0,0,0,0,0,0
720,P,Por,Belec,Sampdoria,0,0,0,0,0,0,0,0,0,0,0,0,0
1930,P,Por,Pinsoglio,Juventus,1,5.5,3.5,0,2,0,0,0,0,0,0,0,0
1941,P,Por,Fulignati,SPAL,0,0,0,0,0,0,0,0,0,0,0,0,0
1946,P,Por,Aresti,Cagliari,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,P,Por,Tozzo,Sampdoria,0,0,0,0,0,0,0,0,0,0,0,0,0
2091,P,Por,Plizzari,Milan,0,0,0,0,0,0,0,0,0,0,0,0,0
2127,P,Por,Satalino,Sassuolo,0,0,0,0,0,0,0,0,0,0,0,0,0
2134,P,Por,Falcone,Sampdoria,0,0,0,0,0,0,0,0,0,0,0,0,0
2249,P,Por,Santurro,Bologna,0,0,0,0,0,0,0,0,0,0,0,0,0
2256,P,Por,Poluzzi,SPAL,0,0,0,0,0,0,0,0,0,0,0,0,0
2271,P,Por,Nicolas,Udinese,0,0,0,0,0,0,0,0,0,0,0,0,0
2297,P,Por,Rossi F.,Atalanta,0,0,0,0,0,0,0,0,0,0,0,0,0
2331,P,Por,Borsellini,Udinese,0,0,0,0,0,0,0,0,0,0,0,0,0
2761,P,Por,Vodisek,Genoa,0,0,0,0,0,0,0,0,0,0,0,0,0
2770,P,Por,Proto,Lazio,2,6,3.75,0,4,0,0,0,0,0,1,0,0
2781,P,Por,Fuzato,Roma,0,0,0,0,0,0,0,0,0,0,0,0,0
2790,P,Por,Rosati,Torino,0,0,0,0,0,0,0,0,0,0,0,0,0
2798,P,Por,Dini,Parma,0,0,0,0,0,0,0,0,0,0,0,0,0
2799,P,Por,Frattali,Parma,1,6.5,4.5,0,2,0,0,0,0,0,0,0,0
2845,P,Por,Contini,Napoli,0,0,0,0,0,0,0,0,0,0,0,0,0
2862,P,Por,Iacobucci,Frosinone,0,0,0,0,0,0,0,0,0,0,0,0,0
2874,P,Por,Ghidotti,Fiorentina,0,0,0,0,0,0,0,0,0,0,0,0,0
2875,P,Por,Bagheria,Parma,0,0,0,0,0,0,0,0,0,0,0,0,0
4328,P,Por,Perucchini,Empoli,0,0,0,0,0,0,0,0,0,0,0,0,0
4336,P,Por,Brazao,Parma,0,0,0,0,0,0,0,0,0,0,0,0,0
4351,P,Por,Brancolini,Fiorentina,0,0,0,0,0,0,0,0,0,0,0,0,0
392,D,Dc,Koulibaly,Napoli,35,6.27,6.31,2,0,0,0,0,0,1,9,1,0
2214,D,Ds;E,Kolarov,Roma,33,6.06,6.7,8,0,0,3,3,0,1,6,1,0
226,D,Dd;Dc,Izzo,Torino,37,6.23,6.5,4,0,0,0,0,0,1,6,0,0
322,D,Dc,De Vrij,Inter,28,6.07,6.18,2,0,0,0,0,0,0,2,0,1
662,D,Ds;E,Alex Sandro,Juventus,29,6.05,6.14,1,0,0,0,0,0,3,7,0,0
706,D,Dd;Ds;E,Ansaldi,Torino,24,6.38,6.77,3,0,0,0,0,0,2,3,0,0
798,D,Dc,Skriniar,Inter,35,6.1,5.99,0,0,0,0,0,0,0,4,0,1
2288,D,Dc,N'koulou,Torino,36,6.25,6.31,2,0,0,0,0,0,0,6,1,0
288,D,Dc,Chiellini,Juventus,23,6.35,6.46,1,0,0,0,0,0,1,3,0,0
460,D,Dc,Romagnoli,Milan,32,6.27,6.28,2,0,0,0,0,0,0,5,1,1
464,D,Dd;E,Florenzi,Roma,29,6.03,6.31,3,0,0,0,0,0,2,4,1,0
487,D,Dd;E,De Silvestri,Torino,31,6,6.29,2,0,0,0,0,0,4,2,0,0
513,D,Dc,Acerbi,Lazio,37,6.14,6.31,3,0,0,0,0,0,0,3,1,0
2130,D,Dd;E,Hateboer,Atalanta,34,6.06,6.57,5,0,0,0,0,0,5,5,0,0
2160,D,Ds;E,Gosens,Atalanta,28,6.18,6.54,3,0,0,0,0,0,2,2,0,0
2296,D,Dc,Mancini,Atalanta,29,6.22,6.69,5,0,0,0,0,0,1,5,0,0
286,D,Dc,Bonucci,Juventus,29,6.02,6.29,3,0,0,0,0,0,0,2,0,0
459,D,Dc,Manolas,Roma,27,6.06,6.06,1,0,0,0,0,0,0,6,0,0
578,D,Dc,Danilo Lar.,Bologna,35,6.01,6.04,1,0,0,0,0,0,0,4,0,0
