Statistiche Fantacalcio Stagione 2020 21,,,,,,,,,,,,,,,,,
Id,R,Rm,Nome,Squadra,Pv,Mv,Fm,Gf,Gs,Rp,Rc,R+,R-,Ass,Amm,Esp,Au
350,P,Por,Donnarumma G.,Milan,37,6.28,5.32,0,38,1,0,0,0,0,1,0,0
453,P,Por,Szczesny,Juventus,30,6.22,5.38,0,32,2,0,0,0,1,0,0,0
250,P,Por,Handanovic,Inter,37,6.03,5.23,0,33,2,0,0,0,0,1,0,1
610,P,Por,Gollini,Atalanta,25,6.1,5.26,0,26,2,0,0,0,0,0,1,0
761,P,Por,Audero,Sampdoria,37,6.38,5.11,0,54,2,0,0,0,1,0,0,0
509,P,Por,Consigli,Sassuolo,37,6.38,4.93,0,56,1,0,0,0,0,1,0,0
572,P,Por,Meret,Napoli,22,6.2,4.89,0,29,0,0,0,0,0,0,0,0
218,P,Por,Perin,Genoa,32,6.25,4.83,0,44,0,0,0,0,0,1,1,0
1917,P,Por,Dragowski,Fiorentina,36,6.21,4.85,0,55,2,0,0,0,0,0,0,0
2178,P,Por,Cragno,Cagliari,34,6.37,4.79,0,53,0,0,0,0,0,1,0,0
387,P,Por,Reina,Lazio,29,6.12,4.69,0,41,0,0,0,0,0,1,0,0
2211,P,Por,Silvestri,Verona,34,6.21,4.9,0,42,0,0,0,0,0,1,0,1
2468,P,Por,Ospina,Napoli,16,6.09,5.34,0,12,0,0,0,0,1,2,0,0
133,P,Por,Skorupski,Bologna,28,6.09,4.64,0,46,2,0,0,0,0,1,0,0
2792,P,Por,Musso,Udinese,35,6.13,4.6,0,51,0,0,0,0,0,5,0,0
4,P,Por,Sportiello,Atalanta,15,6.23,5.03,0,21,1,0,0,0,0,0,0,0
2815,P,Por,Terracciano,Fiorentina,4,6.25,6,0,4,1,0,0,0,0,0,0,0
4419,P,Por,Pau Lopez,Roma,21,6.1,4.71,0,29,0,0,0,0,0,0,0,0
282,P,Por,Buffon,Juventus,8,6.31,6.06,0,5,1,0,0,0,0,0,0,0
1934,P,Por,Strakosha,Lazio,9,5.94,4.33,0,14,0,0,0,0,0,1,0,0
2814,P,Por,Provedel,Spezia,29,6.05,4.24,0,55,1,0,0,0,0,1,0,0
4964,P,Por,Vicario,Cagliari,4,6.5,5,0,6,0,0,0,0,0,0,0,0
41,P,Por,Mirante,Roma,13,6.15,4.85,0,19,1,0,0,0,0,2,0,0
1843,P,Por,Radu I.,Inter,2,6,5.5,0,1,0,0,0,0,0,0,0,0
2179,P,Por,Sirigu,Torino,32,6.02,4.08,0,62,0,0,0,0,0,0,0,0
2781,P,Por,Fuzato,Roma,5,6.4,5,0,7,0,0,0,0,0,0,0,0
4957,P,Por,Montipo',Benevento,37,5.99,3.97,0,74,1,0,0,0,0,3,0,1
4996,P,Por,Pandur,Verona,4,6.12,4.62,0,6,0,0,0,0,0,0,0,0
159,P,Por,Sepe,Parma,36,6,3.89,0,76,0,0,0,0,0,0,0,0
611,P,Por,Rafael,Spezia,3,7,5.67,0,5,0,0,0,0,1,0,0,0
1890,P,Por,Festa,Crotone,1,7,6,0,1,0,0,0,0,0,0,0,0
4491,P,Por,Berardi A.,Verona,1,6,6,0,0,0,0,0,0,0,0,0,0
4520,P,Por,Letica,Sampdoria,1,6.5,6.5,0,0,0,0,0,0,0,0,0,0
5289,P,Por,Crespi,Crotone,1,6.5,6.5,0,0,0,0,0,0,0,0,0,0
220,P,Por,Ujkani,Torino,1,6,5,0,1,0,0,0,0,0,0,0,0
543,P,Por,Padelli,Inter,1,6,5,0,1,0,0,0,0,0,0,0,0
1889,P,Por,Cordaz,Crotone,36,6.17,3.62,0,91,0,0,0,0,0,1,0,0
1930,P,Por,Pinsoglio,Juventus,1,6,5,0,1,0,0,0,0,0,0,0,0
2170,P,Por,Milinkovic-Savic V.,Torino,5,5.8,4.6,0,6,0,0,0,0,0,0,0,0
5005,P,Por,Zoet,Spezia,7,6.07,4.29,0,12,0,0,0,0,0,1,0,0
5320,P,Por,Paleari,Genoa,3,6.17,5.17,0,3,0,0,0,0,0,0,0,0
3,P,Por,Radunovic,Atalanta,0,0,0,0,0,0,0,0,0,0,0,0,0
40,P,Por,Da Costa,Bologna,6,5.42,3.75,0,9,0,0,0,0,0,2,0,0
42,P,Por,Sarr M.,Bologna,0,0,0,0,0,0,0,0,0,0,0,0,0
160,P,Por,Tatarusanu,Milan,1,5,2,0,3,0,0,0,0,0,0,0,0
216,P,Por,Donnarumma An.,Milan,0,0,0,0,0,0,0,0,0,0,0,0,0
318,P,Por,Marchetti,Genoa,4,5.88,3.12,0,11,0,0,0,0,0,0,0,0
412,P,Por,Colombi,Parma,2,6,2.5,0,7,0,0,0,0,0,0,0,0
510,P,Por,Pegolo,Sassuolo,1,6.5,6.5,0,0,0,0,0,0,0,0,0,0
574,P,Por,Scuffet,Udinese,1,5,3,0,2,0,0,0,0,0,0,0,0
654,P,Por,Alastra,Parma,0,0,0,0,0,0,0,0,0,0,0,0,0
673,P,Por,Perisan,Udinese,0,0,0,0,0,0,0,0,0,0,0,0,0
1921,P,Por,Zima L.,Genoa,0,0,0,0,0,0,0,0,0,0,0,0,0
1946,P,Por,Aresti,Cagliari,0,0,0,0,0,0,0,0,0,0,0,0,0
2271,P,Por,Nicolas,Udinese,2,5.5,3,0,5,0,0,0,0,0,0,0,0
2297,P,Por,Rossi F.,Atalanta,0,0,0,0,0,0,0,0,0,0,0,0,0
2722,P,Por,Ravaglia F.,Bologna,4,5.88,3.38,0,10,0,0,0,0,0,0,0,0
2770,P,Por,Proto,Lazio,0,0,0,0,0,0,0,0,0,0,0,0,0
2790,P,Por,Rosati,Fiorentina,0,0,0,0,0,0,0,0,0,0,0,0,0
2798,P,Por,Dini,Parma,0,0,0,0,0,0,0,0,0,0,0,0,0
2845,P,Por,Contini,Napoli,0,0,0,0,0,0,0,0,0,0,0,0,0
4351,P,Por,Brancolini,Fiorentina,0,0,0,0,0,0,0,0,0,0,0,0,0
4431,P,Por,Carnesecchi,Atalanta,0,0,0,0,0,0,0,0,0,0,0,0,0
4523,P,Por,Avogadri,Sampdoria,0,0,0,0,0,0,0,0,0,0,0,0,0
4867,P,Por,Turati,Sassuolo,0,0,0,0,0,0,0,0,0,0,0,0,0
4883,P,Por,Breza,Bologna,0,0,0,0,0,0,0,0,0,0,0,0,0
4929,P,Por,Ciocci,Cagliari,0,0,0,0,0,0,0,0,0,0,0,0,0
4955,P,Por,Gori P.,Benevento,0,0,0,0,0,0,0,0,0,0,0,0,0
4956,P,Por,Manfredini,Benevento,1,5,4,0,1,0,0,0,0,0,0,0,0
4977,P,Por,Ravaglia,Sampdoria,0,0,0,0,0,0,0,0,0,0,0,0,0
4980,P,Por,Desjardins,Spezia,0,0,0,0,0,0,0,0,0,0,0,0,0
4981,P,Por,Krapikas,Spezia,0,0,0,0,0,0,0,0,0,0,0,0,0
