Statistiche Fantacalcio Stagione 2017 18,,,,,,,,,,,,,,,,,
Id,R,Rm,Nome,Squadra,Pv,Mv,Fm,Gf,Gs,Rp,Rc,R+,R-,Ass,Amm,Esp,Au
1964,P,Por,Alisson,Roma,37,6.36,5.76,0,28,2,0,0,0,0,1,0,0
250,P,Por,Handanovic,Inter,38,6.29,5.45,0,30,0,0,0,0,0,0,0,1
2179,P,Por,Sirigu,Torino,37,6.36,5.36,0,45,3,0,0,0,0,2,0,0
350,P,Por,Donnarumma G.,Milan,38,6.09,4.91,0,42,0,0,0,0,0,2,0,1
387,P,Por,Reina,Napoli,37,6.08,5.28,0,29,0,0,0,0,0,1,0,0
413,P,Por,Sorrentino,Chievo,38,6.29,4.95,0,59,3,0,0,0,0,2,0,0
4,P,Por,Sportiello,Fiorentina,37,6.08,5.11,0,38,1,0,0,0,0,0,1,0
218,P,Por,Perin,Genoa,37,6.27,5.12,0,42,0,0,0,0,0,1,0,0
282,P,Por,Buffon,Juventus,21,6.1,5.55,0,14,1,0,0,0,0,1,0,0
316,P,Por,Berisha,Atalanta,31,6.13,5.13,0,34,1,0,0,0,0,0,0,0
509,P,Por,Consigli,Sassuolo,37,6.24,4.73,0,58,1,0,0,0,0,2,0,0
1934,P,Por,Strakosha,Lazio,38,6.28,5.04,0,49,1,0,0,0,0,2,0,0
1889,P,Por,Cordaz,Crotone,38,6.14,4.46,0,66,1,0,0,0,0,2,0,0
2178,P,Por,Cragno,Cagliari,29,6.21,4.79,0,47,2,0,0,0,0,0,0,0
41,P,Por,Mirante,Bologna,33,6.2,4.67,0,46,0,0,0,0,0,5,0,1
484,P,Por,Viviano,Sampdoria,27,6.15,4.89,0,43,4,0,0,0,0,2,0,1
572,P,Por,Meret,SPAL,13,6.5,5.73,0,16,2,0,0,0,0,0,0,0
95,P,Por,Bizzarri,Udinese,32,6.06,4.59,0,52,2,0,0,0,0,0,1,0
2271,P,Por,Nicolas,Verona,36,6.04,4.18,0,71,2,0,0,0,0,2,1,0
453,P,Por,Szczesny,Juventus,17,6.06,5.53,0,9,0,0,0,0,0,0,0,0
483,P,Por,Puggioni,Benevento,23,6.07,4.37,0,38,0,0,0,0,0,0,1,0
540,P,Por,Gomis A.,SPAL,25,6.12,4.52,0,43,1,0,0,0,0,0,0,0
610,P,Por,Gollini,Atalanta,7,6.07,5.5,0,4,0,0,0,0,0,0,0,0
611,P,Por,Rafael,Cagliari,10,6.1,4.95,0,11,0,0,0,0,0,1,0,0
40,P,Por,Da Costa,Bologna,4,6.38,5.12,0,5,0,0,0,0,0,0,0,0
133,P,Por,Skorupski,Roma,1,6.5,6.5,0,0,0,0,0,0,0,0,0,0
217,P,Por,Lamanna,Genoa,1,6.5,5.5,0,1,0,0,0,0,0,0,0,0
574,P,Por,Scuffet,Udinese,6,5.67,4.33,0,11,1,0,0,0,0,0,0,0
1930,P,Por,Pinsoglio,Juventus,1,6,5,0,1,0,0,0,0,0,0,0,0
2170,P,Por,Milinkovic-Savic V.,Torino,1,6,5,0,1,0,0,0,0,0,0,0,0
2297,P,Por,Rossi F.,Atalanta,1,5.5,4.5,0,1,0,0,0,0,0,0,0,0
3,P,Por,Radunovic,Atalanta,0,0,0,0,0,0,0,0,0,0,0,0,0
97,P,Por,Seculin,Chievo,0,0,0,0,0,0,0,0,0,0,0,0,0
