Statistiche Fantacalcio Stagione 2019 20,,,,,,,,,,,,,,,,,
Id,R,Rm,Nome,Squadra,Pv,Mv,Fm,Gf,Gs,Rp,Rc,R+,R-,Ass,Amm,Esp,Au
2294,P,Por,Cerofolini,Fiorentina,0,0,0,0,0,0,0,0,0,0,0,0,0
2297,P,Por,Rossi F.,Atalanta,1,6,5,0,1,0,0,0,0,0,0,0,0
2761,P,Por,Vodisek,Genoa,0,0,0,0,0,0,0,0,0,0,0,0,0
2770,P,Por,Proto,Lazio,0,0,0,0,0,0,0,0,0,0,0,0,0
2781,P,Por,Fuzato,Roma,1,6,5,0,1,0,0,0,0,0,0,0,0
2790,P,Por,Rosati,Torino,1,5.5,4.5,0,1,0,0,0,0,0,0,0,0
2809,P,Por,Vigorito,Lecce,5,5.9,4,0,9,0,0,0,0,0,1,0,0
4325,P,Por,Jandrei,Genoa,0,0,0,0,0,0,0,0,0,0,0,0,0
4351,P,Por,Brancolini,Fiorentina,0,0,0,0,0,0,0,0,0,0,0,0,0
4410,P,Por,Borghetto,Verona,0,0,0,0,0,0,0,0,0,0,0,0,0
4440,P,Por,Alfonso,Brescia,3,5.83,4.5,0,4,0,0,0,0,0,0,0,0
4468,P,Por,Bleve,Lecce,0,0,0,0,0,0,0,0,0,0,0,0,0
4469,P,Por,Milli,Lecce,0,0,0,0,0,0,0,0,0,0,0,0,0
4485,P,Por,Thiam D.,SPAL,2,6,4,0,4,0,0,0,0,0,0,0,0
4491,P,Por,Berardi A.,Verona,0,0,0,0,0,0,0,0,0,0,0,0,0
4518,P,Por,Russo A.,Sassuolo,0,0,0,0,0,0,0,0,0,0,0,0,0
4520,P,Por,Letica,SPAL,10,5.7,3.05,0,29,1,0,0,0,0,1,0,0
4523,P,Por,Avogadri,Sampdoria,0,0,0,0,0,0,0,0,0,0,0,0,0
4525,P,Por,Gemello,Torino,0,0,0,0,0,0,0,0,0,0,0,0,0
4867,P,Por,Turati,Sassuolo,2,6.25,4.25,0,4,0,0,0,0,0,0,0,0
4878,P,Por,Begovic,Milan,2,6.25,4.75,0,3,0,0,0,0,0,0,0,0
4883,P,Por,Breza,Bologna,0,0,0,0,0,0,0,0,0,0,0,0,0
4889,P,Por,Chironi,Lecce,0,0,0,0,0,0,0,0,0,0,0,0,0
4929,P,Por,Ciocci,Cagliari,0,0,0,0,0,0,0,0,0,0,0,0,0
2160,D,E,Gosens,Atalanta,33,6.39,7.38,9,0,0,0,0,0,7,3,0,0
2707,D,Dd;Ds;E,Young,Inter,17,6.12,7.03,4,0,0,0,0,0,4,1,0,0
4292,D,Ds;E,Hernandez T.,Milan,33,6.33,6.73,6,0,0,0,0,0,2,10,0,1
322,D,Dc,De Vrij,Inter,34,6.29,6.6,4,0,0,0,0,0,1,5,0,0
513,D,Dc,Acerbi,Lazio,36,6.26,6.43,2,0,0,0,0,0,2,4,0,0
2164,D,Dd;Dc,Milenkovic,Fiorentina,37,6.18,6.46,5,0,0,0,0,0,0,9,0,0
286,D,Dc,Bonucci,Juventus,35,6.27,6.4,3,0,0,0,0,0,0,9,0,0
2759,D,Ds;Dc;E,Criscito,Genoa,25,6,6.58,8,0,0,10,8,2,0,7,0,0
581,D,Dd;E,Faraoni,Verona,36,6.1,6.51,5,0,0,0,0,0,3,6,0,0
2214,D,Ds;E,Kolarov,Roma,31,6.02,6.52,7,0,0,4,2,2,3,6,0,0
2310,D,Dd;E,Cancelo,Juventus,0,0,0,0,0,0,0,0,0,0,0,0,0
4245,D,Dc,Smalling,Roma,30,6.05,6.35,3,0,0,0,0,0,1,2,0,0
546,D,Dd;E,Bruno Peres,Roma,15,6.03,6.47,2,0,0,0,0,0,2,3,0,0
695,D,Dc,Toloi,Atalanta,30,6.18,6.35,2,0,0,0,0,0,4,11,0,0
73,D,Ds;Dc,Gagliolo,Parma,31,6,6.27,3,0,0,0,0,0,3,7,0,0
252,D,Ds;E,Biraghi,Inter,23,5.98,6.43,2,0,0,0,0,0,6,3,0,0
787,D,Dc,Djimsiti,Atalanta,34,6.07,6.21,2,0,0,0,0,0,1,5,0,0
2315,D,Dd;Dc;E,Stryger Larsen,Udinese,33,6.06,6.17,1,0,0,0,0,0,3,5,0,0
4428,D,Dc,De Ligt,Juventus,29,6.05,6.38,4,0,0,0,0,0,0,5,0,0
459,D,Dc,Manolas,Napoli,25,5.98,6.42,4,0,0,0,0,0,0,2,0,0
460,D,Dc,Romagnoli,Milan,35,6.11,6.14,1,0,0,0,0,0,0,4,0,0
1852,D,Ds;E,Spinazzola,Roma,22,6.25,6.43,1,0,0,0,0,0,2,2,0,0
2197,D,E,Castagne,Atalanta,25,6.08,6.18,1,0,0,0,0,0,1,4,0,0
2309,D,Dc,Pezzella Ger.,Fiorentina,32,6.06,6.16,3,0,0,0,0,0,0,12,0,0
2816,D,Dd;E,Di Lorenzo,Napoli,33,5.88,6.17,3,0,0,0,0,0,3,5,0,0
253,D,Dd;Ds;Dc,D'ambrosio,Inter,18,6.08,6.58,4,0,0,0,0,0,0,6,0,0
2285,D,Dc,Bani,Bologna,27,5.96,6.19,4,0,0,0,0,0,0,10,1,0
4521,D,Dd;Dc,Muldur,Sassuolo,20,6.02,6.32,2,0,0,0,0,0,2,4,0,0
578,D,Dc,Danilo Lar.,Bologna,30,5.95,5.97,2,0,0,0,0,0,0,9,1,0
662,D,Ds;E,Alex Sandro,Juventus,29,5.97,6.07,1,0,0,0,0,0,2,4,0,0
798,D,Dc,Skriniar,Inter,32,6.14,5.94,0,0,0,0,0,0,0,7,1,1
1864,D,Dc,Bruno Alves,Parma,32,5.97,5.91,0,0,0,0,0,0,0,4,0,0
2181,D,Dc,Palomino,Atalanta,30,5.97,6.05,2,0,0,0,0,0,1,5,0,1
2280,D,Dc,Nuytinck,Udinese,26,6.15,6.12,0,0,0,0,0,0,0,2,0,0
2296,D,Dc,Mancini,Roma,32,6.03,5.88,1,0,0,0,0,0,0,14,1,0
2446,D,Dd;E,Donati,Lecce,20,5.92,5.88,1,0,0,0,0,0,0,4,0,1
2525,D,Dd;Ds;E,Darmian,Parma,32,5.92,5.95,1,0,0,0,0,0,1,6,0,0
2788,D,Dc,Bremer,Torino,27,5.78,6,3,0,0,0,0,0,0,2,2,0
4516,D,Dc,Skrtel,Atalanta,0,0,0,0,0,0,0,0,0,0,0,0,0
288,D,Dc,Chiellini,Juventus,4,6.12,6.88,1,0,0,0,0,0,0,0,0,0
791,D,Dd;E,Sabelli,Brescia,36,5.89,5.85,0,0,0,0,0,0,3,5,0,1
