Voti Fantacalcio 10ª giornata di campionato,,,,,,,,,,,,
Solo su www.fantacalcio.it i voti ufficiali per la tua lega,,,,,,,,,,,,
QUESTO FILE NON PUO' ESSERE RIPRODOTTO NE' PUBBLICATO SU ALTRI SITI INTERNET,,,,,,,,,,,,
E' DA CONSIDERARSI AD USO PERSONALE ESCLUSIVO DEGLI ISCRITTI DI FANTACALCIO.IT,,,,,,,,,,,,
Atalanta,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
4431,P,Carnesecchi,6.5,0,0,0,0,0,0,0,0,0
554,D,Zappacosta,7,1,0,0,0,0,0,0,0,0
697,D,Cuadrado,6,0,0,0,0,0,0,0,0,0
787,D,Djimsiti,6,0,0,0,0,0,0,1,0,0
2640,D,Kolasinac,6,0,0,0,0,0,0,1,0,0
4887,D,Bellanova,5.5,0,0,0,0,0,0,0,0,0
5354,D,Ruggeri,5.5,0,0,0,0,0,0,0,0,0
5578,D,Kossounou,6*,0,0,0,0,0,0,0,0,0
6046,D,Hien,6,0,0,0,0,0,0,0,0,0
22,C,De Roon,6,0,0,0,0,0,0,0,0,0
2766,C,Zaniolo,6.5,0,0,0,0,0,0,0,0,0
5119,C,Samardzic,7.5,1,0,0,0,0,0,0,0,0
5792,C,Ederson D.s.,6.5,0,0,0,0,0,0,0,0,0
4730,A,Lookman,5.5,0,0,0,0,0,0,0,0,0
5995,A,De Ketelaere,5.5,0,0,0,0,0,0,0,0,0
6228,A,Retegui,6.5,0,0,0,0,0,0,0,0,1
684,ALL,Gasperini,6.5,0,0,0,0,0,0,0,0,0
Bologna,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
133,P,Skorupski,7,0,0,0,0,0,0,0,0,0
487,D,De Silvestri,6,0,0,0,0,0,0,0,0,0
4734,D,Miranda J.,6.5,0,0,0,0,0,0,0,0,0
5678,D,Holm,6*,0,0,0,0,0,0,0,0,0
6042,D,Lucumi',6.5,0,0,0,0,0,0,0,0,1
6066,D,Posch,6*,0,0,0,0,0,0,0,0,0
6202,D,Beukema,6,0,0,0,0,0,0,0,0,0
788,C,Freuler,6.5,0,0,0,0,0,0,0,0,0
2167,C,Orsolini,7,1,0,0,0,0,0,0,0,0
5298,C,Pobega,6,0,0,0,0,0,0,1,0,0
5564,C,Ndoye,7.5,0,0,0,0,0,0,0,0,1
6054,C,Moro N.,6,0,0,0,0,0,0,0,0,0
6206,C,Fabbian,6*,0,0,0,0,0,0,1,0,0
2765,A,Odgaard,7,1,0,0,0,0,0,0,0,0
6572,A,Castro S.,6,0,0,0,0,0,0,0,0,0
6643,A,Dallinga,6*,0,0,0,0,0,0,0,0,0
4993,ALL,Italiano,7,0,0,0,0,0,0,0,0,0
Cagliari,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
574,P,Scuffet,5,0,2,0,0,0,0,0,0,0
393,D,Luperto,5.5,0,0,0,0,0,0,0,0,0
2181,D,Palomino,5.5,0,0,0,0,0,0,1,0,0
4421,D,Augello,6,0,0,0,0,0,0,0,0,0
4433,D,Zortea,6,0,0,0,0,0,0,0,0,0
4461,D,Zappa,5,0,0,0,0,0,0,1,0,0
5701,D,Obert,6.5,0,0,0,0,0,0,0,0,0
440,C,Viola,5,0,0,0,0,0,0,0,0,0
4364,C,Gaetano,6,0,0,0,0,0,0,0,0,0
4870,C,Adopo,6,0,0,0,0,0,0,0,0,0
4965,C,Marin,6.5,0,0,0,0,0,0,0,0,0
6424,C,Prati,5.5,0,0,0,0,0,0,0,0,0
6640,C,Felici,5.5,0,0,0,0,0,0,0,0,0
1939,A,Lapadula,6,0,0,0,0,0,0,0,0,0
4359,A,Piccoli,6,0,0,0,0,0,0,0,0,0
5297,A,Luvumbo,6,0,0,0,0,0,0,0,0,0
1911,ALL,Nicola,5,0,0,0,0,0,0,0,0,0
Como,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
761,P,Audero,5.5,0,5,0,0,0,0,0,0,0
134,D,Barba,6*,0,0,0,0,0,0,0,0,0
418,D,Goldaniga,5,0,0,0,0,0,0,0,0,0
5435,D,Moreno Alb.,6,0,0,0,0,0,0,0,0,0
6230,D,Dossena,4.5,0,0,0,0,0,0,0,0,0
6893,D,Kempf,5,0,0,0,0,0,0,0,0,0
1976,C,Mazzitelli,7,1,0,0,0,0,0,0,0,0
4486,C,Strefezza,6,0,0,0,0,0,0,0,0,0
5559,C,Da Cunha,6,0,0,0,0,0,0,0,0,0
6656,C,Braunoder,4.5,0,0,0,0,0,0,0,1,0
6676,C,Engelhardt,5.5,0,0,0,0,0,0,0,0,0
6815,C,Fadera,5.5,0,0,0,0,0,0,0,0,0
6875,C,Paz N.,5.5,0,0,0,0,0,0,0,0,0
306,A,Cerri,5,0,0,0,0,0,0,0,0,0
2155,A,Cutrone,6,0,0,0,0,0,0,0,0,0
6657,A,Gabrielloni,6*,0,0,0,0,0,0,0,0,0
2485,ALL,Fabregas,5.5,0,0,0,0,0,0,0,0,0
Empoli,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
6125,P,Vasquez D.,5.5,0,3,0,0,0,0,0,0,0
358,D,De Sciglio,5.5,0,0,0,0,0,0,0,0,0
770,D,Pezzella Giu.,6,0,0,0,0,0,0,0,0,0
5010,D,Ismajli,6,0,0,0,0,0,0,0,0,0
5718,D,Viti,5,0,0,0,0,0,0,0,0,0
5804,D,Cacace,5.5,0,0,0,0,0,0,1,0,0
5856,D,Sambia,6,0,0,0,0,0,0,0,0,0
6537,D,Goglichidze,4.5,0,0,0,0,0,0,0,1,0
4498,C,Henderson L.,5.5,0,0,0,0,0,0,0,0,0
4992,C,Gyasi,5.5,0,0,0,0,0,0,0,0,0
5457,C,Maleh,5.5,0,0,0,0,0,0,0,0,0
6010,C,Fazzini,6.5,0,0,0,0,0,0,0,0,0
6889,C,Anjorin,6,0,0,0,0,0,0,0,0,0
2103,A,Pellegri,5.5,0,0,0,0,0,0,0,0,0
4923,A,Colombo,5.5,0,0,0,0,0,0,0,0,0
6119,A,Solbakken,5.5,0,0,0,0,0,0,0,0,0
2824,ALL,D'Aversa,5.5,0,0,0,0,0,0,0,0,0
Fiorentina,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
2521,P,De Gea,7,0,0,0,0,0,0,0,0,0
252,D,Biraghi,6*,0,0,0,0,0,0,0,0,0
2160,D,Gosens,7,1,0,0,0,0,0,0,0,0
4378,D,Ranieri L.,6.5,0,0,0,0,0,0,0,0,0
5323,D,Martinez Quarta,6,0,0,0,0,0,0,1,0,0
5885,D,Dodo',6.5,0,0,0,0,0,0,0,0,0
1933,C,Mandragora,6,0,0,0,0,0,0,0,0,0
2839,C,Sottil,5.5,0,0,0,0,0,0,0,0,0
4658,C,Ikone',6,0,0,0,0,0,0,0,0,0
5423,C,Bove,6.5,0,0,0,0,0,0,0,0,0
5875,C,Adli,6,0,0,0,0,0,0,0,0,0
5878,C,Colpani,6,0,0,0,0,0,0,0,0,0
6804,C,Richardson,6,0,0,0,0,0,0,1,0,0
2762,A,Kouame',5,0,0,0,0,0,0,0,0,0
6409,A,Beltran L.,6.5,0,0,0,0,0,0,0,0,0
1909,ALL,Palladino,7,0,0,0,0,0,0,0,0,0
Genoa,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
188,P,Leali,6,0,1,0,0,0,0,0,0,0
791,D,Sabelli,5.5,0,0,0,0,0,0,0,0,0
2593,D,Martin,6.5,0,0,0,0,0,0,0,0,0
5514,D,Vasquez,6.5,0,0,0,0,0,0,1,0,0
5527,D,Zanoli,6*,0,0,0,0,0,0,0,0,0
6244,D,Matturro,6,0,0,0,0,0,0,1,0,0
6245,D,Vogliacco,5.5,0,0,0,0,0,0,1,0,0
170,C,Badelj,6.5,0,0,0,0,0,0,0,0,0
4404,C,Thorsby,6,0,0,0,0,0,0,0,0,0
4886,C,Pereiro,6*,0,0,0,0,0,0,0,0,0
5791,C,Frendrup,5.5,0,0,0,0,0,0,0,0,0
5813,C,Miretti,5.5,0,0,0,0,0,0,0,0,0
6917,C,Masini,6,0,0,0,0,0,0,0,0,0
2038,A,Pinamonti,6,0,0,0,0,0,0,1,0,0
6822,A,Ekhator,6.5,0,0,0,0,0,0,0,0,0
698,ALL,Gilardino,6.5,0,0,0,0,0,0,0,0,0
Inter,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
2428,P,Sommer,6,0,0,0,0,0,0,0,0,0
254,D,Dimarco,6,0,0,0,0,0,0,0,0,0
322,D,De Vrij,6,0,0,0,0,0,0,0,0,0
2120,D,Bastoni,6.5,0,0,0,0,0,0,1,0,0
2525,D,Darmian,6.5,0,0,0,0,0,0,0,0,1
4177,D,Pavard,6,0,0,0,0,0,0,0,0,0
5513,D,Dumfries,6,0,0,0,0,0,0,0,0,0
6217,D,Bisseck,6,0,0,0,0,0,0,0,0,0
6874,D,Palacios T.,6*,0,0,0,0,0,0,0,0,0
152,C,Zielinski,6,0,0,0,0,0,0,0,0,0
1870,C,Barella,6.5,0,0,0,0,0,0,0,0,1
2529,C,Mkhitaryan,6,0,0,0,0,0,0,0,0,0
2848,C,Frattesi,7.5,2,0,0,0,0,0,0,0,0
2764,A,Martinez L.,7,1,0,0,0,0,0,0,0,1
4871,A,Thuram,6,0,0,0,0,0,0,0,0,0
6628,A,Taremi,6,0,0,0,0,0,0,0,0,0
826,ALL,Inzaghi S.,7,0,0,0,0,0,0,0,0,0
Juventus,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
5876,P,Di Gregorio,6,0,2,0,0,0,0,0,0,0
4237,D,Danilo,5,0,0,0,0,0,0,0,0,0
5520,D,Cambiaso,6.5,0,0,0,0,0,0,0,0,0
