Voti Fantacalcio 12ª giornata di campionato,,,,,,,,,,,,
Solo su www.fantacalcio.it i voti ufficiali per la tua lega,,,,,,,,,,,,
QUESTO FILE NON PUO' ESSERE RIPRODOTTO NE' PUBBLICATO SU ALTRI SITI INTERNET,,,,,,,,,,,,
E' DA CONSIDERARSI AD USO PERSONALE ESCLUSIVO DEGLI ISCRITTI DI FANTACALCIO.IT,,,,,,,,,,,,
Atalanta,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
4431,P,Carnesecchi,6.5,0,1,0,0,0,0,0,0,0
554,D,Zappacosta,6,0,0,0,0,0,0,0,0,0
697,D,Cuadrado,6*,0,0,0,0,0,0,0,0,0
787,D,Djimsiti,6,0,0,0,0,0,0,0,0,0
4887,D,Bellanova,7,0,0,0,0,0,0,0,0,1
5354,D,Ruggeri,6,0,0,0,0,0,0,0,0,0
5578,D,Kossounou,6.5,0,0,0,0,0,0,0,0,0
6046,D,Hien,6,0,0,0,0,0,0,0,0,0
22,C,De Roon,6,0,0,0,0,0,0,0,0,0
2077,C,Pasalic,7,1,0,0,0,0,0,0,0,0
2766,C,Zaniolo,6*,0,0,0,0,0,0,0,0,0
4947,C,Brescianini,6,0,0,0,0,0,0,0,0,0
5119,C,Samardzic,6.5,0,0,0,0,0,0,0,0,0
5792,C,Ederson D.s.,5.5,0,0,0,0,0,0,0,0,0
4730,A,Lookman,6,0,0,0,0,0,0,1,0,0
6228,A,Retegui,5.5,0,0,0,0,0,0,0,0,0
684,ALL,Gasperini,7,0,0,0,0,0,0,0,0,0
Bologna,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
133,P,Skorupski,5.5,0,2,0,0,0,0,0,0,0
487,D,De Silvestri,5.5,0,0,0,0,0,0,1,0,0
4734,D,Miranda J.,7,0,0,0,0,0,0,1,0,1
5498,D,Casale,6*,0,0,0,0,0,0,0,0,0
6042,D,Lucumi',6.5,0,0,0,0,0,0,0,0,0
6066,D,Posch,6,0,0,0,0,0,0,0,0,0
6202,D,Beukema,5.5,0,0,0,0,0,0,0,0,0
788,C,Freuler,6,0,0,0,0,0,0,0,0,0
2167,C,Orsolini,7,1,0,0,0,0,0,0,0,0
5298,C,Pobega,6.5,0,0,0,0,0,0,0,0,0
5564,C,Ndoye,6,0,0,0,0,0,0,0,0,0
6206,C,Fabbian,6,0,0,0,0,0,0,0,0,0
6459,C,Karlsson,7,1,0,0,0,0,0,1,0,0
2765,A,Odgaard,6,0,0,0,0,0,0,0,0,0
6572,A,Castro S.,7.5,1,0,0,0,0,0,0,0,1
6643,A,Dallinga,6.5,0,0,0,0,0,0,0,0,0
4993,ALL,Italiano,7,0,0,0,0,0,0,0,0,0
Cagliari,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
6650,P,Sherri,5,0,3,0,0,0,0,0,0,0
393,D,Luperto,6,0,0,0,0,0,0,0,0,0
2181,D,Palomino,5,0,0,0,0,0,0,0,0,0
4421,D,Augello,6.5,0,0,0,0,0,0,0,0,1
4433,D,Zortea,7,1,0,0,0,0,0,0,0,0
4461,D,Zappa,7.5,2,0,0,0,0,0,0,0,0
6464,D,Wieteska,6,0,0,0,0,0,0,0,0,0
440,C,Viola,5.5,0,0,0,0,0,0,0,0,0
1871,C,Deiola,5.5,0,0,0,0,0,0,0,0,0
4364,C,Gaetano,6,0,0,0,0,0,0,0,0,0
4965,C,Marin,6*,0,0,0,0,0,0,0,0,0
6232,C,Makoumbou,6,0,0,0,0,0,0,0,0,0
247,A,Pavoletti,6*,0,0,0,0,0,0,0,0,0
1939,A,Lapadula,6*,0,0,0,0,0,0,0,0,0
4359,A,Piccoli,5.5,0,0,0,0,0,0,0,0,0
5297,A,Luvumbo,6,0,0,0,0,0,0,0,0,0
1911,ALL,Nicola,7,0,0,0,0,0,0,0,0,0
Como,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
387,P,Reina,6,0,1,0,0,0,0,0,0,0
418,D,Goldaniga,6,0,0,0,0,0,0,1,0,0
4386,D,Sala M.,6*,0,0,0,0,0,0,0,0,0
5435,D,Moreno Alb.,6,0,0,0,0,0,0,1,0,0
