Voti Fantacalcio 32ª giornata di campionato,,,,,,,,,,,,
Solo su www.fantacalcio.it i voti ufficiali per la tua lega,,,,,,,,,,,,
QUESTO FILE NON PUO' ESSERE RIPRODOTTO NE' PUBBLICATO SU ALTRI SITI INTERNET,,,,,,,,,,,,
E' DA CONSIDERARSI AD USO PERSONALE ESCLUSIVO DEGLI ISCRITTI DI FANTACALCIO.IT,,,,,,,,,,,,
Atalanta,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
4431,P,Carnesecchi,6.5,0,0,0,0,0,0,0,0,0
554,D,Zappacosta,6,0,0,0,0,0,0,1,0,0
695,D,Toloi,6,0,0,0,0,0,0,1,0,0
697,D,Cuadrado,6*,0,0,0,0,0,0,0,0,0
787,D,Djimsiti,6,0,0,0,0,0,0,0,0,0
2640,D,Kolasinac,6.5,0,0,0,0,0,0,0,0,0
4887,D,Bellanova,6.5,0,0,0,0,0,0,0,0,1
5354,D,Ruggeri,6*,0,0,0,0,0,0,0,0,0
6046,D,Hien,6.5,0,0,0,0,0,0,1,0,0
22,C,De Roon,6.5,0,0,0,0,0,0,0,0,0
2077,C,Pasalic,7,1,0,0,0,0,0,0,0,0
4896,C,Maldini,6*,0,0,0,0,0,0,0,0,0
4947,C,Brescianini,6*,0,0,0,0,0,0,0,0,0
5792,C,Ederson D.s.,6,0,0,0,0,0,0,0,0,0
4730,A,Lookman,6,0,0,0,0,0,0,0,0,0
6228,A,Retegui,7.5,1,0,0,0,0,0,1,0,1
684,ALL,Gasperini,7,0,0,0,0,0,0,0,0,0
Bologna,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
2722,P,Ravaglia F.,6,0,2,0,0,0,0,0,0,0
487,D,De Silvestri,5.5,0,0,0,0,0,0,0,0,0
4734,D,Miranda J.,5,0,0,0,0,0,0,1,0,0
4982,D,Erlic,6,0,0,0,0,0,0,0,0,0
5498,D,Casale,6,0,0,0,0,0,0,0,0,0
5678,D,Holm,6,0,0,0,0,0,0,0,0,0
6042,D,Lucumi',5,0,0,0,0,0,0,0,0,0
6202,D,Beukema,5,0,0,0,0,0,0,0,0,0
788,C,Freuler,5.5,0,0,0,0,0,0,0,0,0
2167,C,Orsolini,5.5,0,0,0,0,0,0,0,0,0
5298,C,Pobega,6,0,0,0,0,0,0,0,0,0
5564,C,Ndoye,6.5,0,0,0,0,0,0,0,0,0
6206,C,Fabbian,5.5,0,0,0,0,0,0,0,0,0
4436,A,Cambiaghi,5.5,0,0,0,0,0,0,0,0,0
6643,A,Dallinga,5.5,0,0,0,0,0,0,0,0,0
6895,A,Dominguez B.,6,0,0,0,0,0,0,0,0,0
4993,ALL,Italiano,5.5,0,0,0,0,0,0,0,0,0
Cagliari,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
4360,P,Caprile,6,0,3,0,0,0,0,0,0,0
2181,D,Palomino,5,0,0,0,0,0,0,0,0,0
4210,D,Mina,5.5,0,0,0,0,0,0,0,0,0
4421,D,Augello,6.5,0,0,0,0,0,0,0,0,1
4433,D,Zortea,6,0,0,0,0,0,0,0,0,0
4461,D,Zappa,6,0,0,0,0,0,0,0,0,0
