Voti Fantacalcio 13ª giornata di campionato,,,,,,,,,,,,
Solo su www.fantacalcio.it i voti ufficiali per la tua lega,,,,,,,,,,,,
QUESTO FILE NON PUO' ESSERE RIPRODOTTO NE' PUBBLICATO SU ALTRI SITI INTERNET,,,,,,,,,,,,
E' DA CONSIDERARSI AD USO PERSONALE ESCLUSIVO DEGLI ISCRITTI DI FANTACALCIO.IT,,,,,,,,,,,,
Atalanta,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
4431,P,Carnesecchi,6.5,0,1,0,0,0,0,0,0,0
695,D,Toloi,5,0,0,0,0,0,0,0,0,0
697,D,Cuadrado,6.5,0,0,0,0,0,0,0,0,1
4887,D,Bellanova,7,0,0,0,0,0,0,0,0,1
5354,D,Ruggeri,6.5,0,0,0,0,0,0,1,0,1
5526,D,Scalvini,6*,0,0,0,0,0,0,0,0,0
5578,D,Kossounou,6,0,0,0,0,0,0,0,0,0
6046,D,Hien,6,0,0,0,0,0,0,0,0,0
22,C,De Roon,6,0,0,0,0,0,0,1,0,0
2077,C,Pasalic,6.5,0,0,0,0,0,0,0,0,0
4947,C,Brescianini,6,0,0,0,0,0,0,0,0,0
5119,C,Samardzic,6*,0,0,0,0,0,0,0,0,0
5792,C,Ederson D.s.,7.5,1,0,0,0,0,0,0,0,0
4730,A,Lookman,7,1,0,0,0,0,0,0,0,0
5995,A,De Ketelaere,6,0,0,0,0,0,0,0,0,0
6228,A,Retegui,7,1,0,0,0,0,0,0,0,0
684,ALL,Gasperini,7,0,0,0,0,0,0,0,1,0
Bologna,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
2722,P,Ravaglia F.,6,0,3,0,0,0,0,0,0,0
487,D,De Silvestri,6,0,0,0,0,0,0,0,0,0
4734,D,Miranda J.,5.5,0,0,0,0,0,0,0,0,0
5678,D,Holm,6*,0,0,0,0,0,0,1,0,0
6042,D,Lucumi',6,0,0,0,0,0,0,0,0,0
6202,D,Beukema,5,0,0,0,0,0,0,0,0,0
788,C,Freuler,6.5,0,0,0,0,0,0,0,0,0
2167,C,Orsolini,6.5,0,0,0,0,0,0,0,0,0
5298,C,Pobega,4.5,0,0,0,0,0,0,0,1,0
5425,C,Urbanski,5,0,0,0,0,0,0,0,0,0
6054,C,Moro N.,6,0,0,0,0,0,0,0,0,0
6206,C,Fabbian,6,0,0,0,0,0,0,0,0,0
6459,C,Karlsson,5.5,0,0,0,0,0,0,0,0,0
2765,A,Odgaard,6,0,0,0,0,0,0,0,0,0
6572,A,Castro S.,6,0,0,0,0,0,0,0,0,0
6643,A,Dallinga,6,0,0,0,0,0,0,0,0,0
4993,ALL,Italiano,5.5,0,0,0,0,0,0,0,0,0
Cagliari,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
6650,P,Sherri,6,0,2,0,0,0,0,0,0,0
393,D,Luperto,5,0,0,0,0,0,0,0,0,0
4210,D,Mina,6,0,0,0,0,0,0,0,0,0
4421,D,Augello,5.5,0,0,0,0,0,0,0,0,0
4433,D,Zortea,5.5,0,0,0,0,0,0,0,0,0
4461,D,Zappa,5.5,0,0,0,0,0,0,0,0,0
5701,D,Obert,6,0,0,0,0,0,0,0,0,0
440,C,Viola,5.5,0,0,0,0,0,0,1,0,0
1871,C,Deiola,6,0,0,0,0,0,0,0,0,0
4364,C,Gaetano,5.5,0,0,0,0,0,0,0,0,0
4870,C,Adopo,5.5,0,0,0,0,0,0,0,0,0
4965,C,Marin,6.5,0,0,0,0,1,0,1,0,0
6232,C,Makoumbou,6,0,0,0,0,0,0,0,0,0
247,A,Pavoletti,6,0,0,0,0,0,0,0,0,0
4359,A,Piccoli,7,0,0,0,0,1,0,0,0,0
5297,A,Luvumbo,6,0,0,0,0,0,0,0,0,0
1911,ALL,Nicola,6,0,0,0,0,0,0,0,0,0
Como,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
761,P,Audero,5.5,0,2,0,0,0,0,0,0,0
134,D,Barba,5.5,0,0,0,0,0,0,0,0,0
418,D,Goldaniga,5.5,0,0,0,0,0,0,0,0,0
4386,D,Sala M.,5.5,0,0,0,0,0,0,0,0,0
5435,D,Moreno Alb.,6,0,0,0,0,0,0,0,0,0
6230,D,Dossena,5,0,0,0,0,0,0,0,1,0
