"Voti Fantacalcio 37ª giornata di campionato","","","","","","","","","","","",""
"Solo su www.fantacalcio.it i voti ufficiali per la tua lega","","","","","","","","","","","",""
"QUESTO FILE NON PUO' ESSERE RIPRODOTTO NE' PUBBLICATO SU ALTRI SITI INTERNET","","","","","","","","","","","",""
"E' DA CONSIDERARSI AD USO PERSONALE ESCLUSIVO DEGLI ISCRITTI DI FANTACALCIO.IT","","","","","","","","","","","",""
"Atalanta","","","","","","","","","","","",""
"Cod.","Ruolo","Nome","Voto","Gf","Gs","Rp","Rs","Rf","Au","Amm","Esp","Ass"
"4270","P","Rui Patricio","6","0","2","0","0","0","0","0","0","0"
"554","D","Zappacosta","6","0","0","0","0","0","0","0","0","0"
"4887","D","Bellanova","5.5","0","0","0","0","0","0","0","0","0"
"5354","D","Ruggeri","6","0","0","0","0","0","0","0","0","1"
"5578","D","Kossounou","6","0","0","0","0","0","0","0","0","0"
"6046","D","Hien","5","0","0","0","0","0","0","0","0","0"
"6832","D","Palestra","6","0","0","0","0","0","0","0","0","0"
"22","C","De Roon","6","0","0","0","0","0","0","0","0","1"
"2077","C","Pasalic","6","0","0","0","0","0","0","0","0","0"
"4896","C","Maldini","6.5","1","0","0","0","0","0","0","0","0"
"4947","C","Brescianini","5.5","0","0","0","0","0","0","0","0","0"
"5119","C","Samardzic","6","0","0","0","0","0","0","0","0","0"
"5792","C","Ederson D.s.","6*","0","0","0","0","0","0","0","0","0"
"6024","C","Sulemana I.","7","1","0","0","0","0","0","0","0","0"
"5995","A","De Ketelaere","6.5","0","0","0","0","0","0","0","0","1"
"6228","A","Retegui","7","1","0","0","0","0","0","0","0","0"
"684","ALL","Gasperini","6","0","0","0","0","0","0","0","0","0"
"Bologna","","","","","","","","","","","",""
"Cod.","Ruolo","Nome","Voto","Gf","Gs","Rp","Rs","Rf","Au","Amm","Esp","Ass"
"133","P","Skorupski","6","0","3","0","0","0","0","0","0","0"
"357","D","Calabria","5.5","0","0","0","0","0","0","0","0","0"
"4734","D","Miranda J.","4.5","0","0","0","0","0","0","0","1","0"
"5498","D","Casale","4.5","0","0","0","0","0","0","0","0","0"
"5678","D","Holm","6*","0","0","0","0","0","0","0","0","0"
"6042","D","Lucumi'","5","0","0","0","0","0","0","0","0","0"
"788","C","Freuler","6","0","0","0","0","0","0","0","0","0"
"2167","C","Orsolini","7.5","1","0","0","0","0","0","0","0","1"
"5564","C","Ndoye","7","0","0","0","0","0","0","1","0","1"
"5858","C","Ferguson","5.5","0","0","0","0","0","0","0","0","0"
"6054","C","Moro N.","6*","0","0","0","0","0","0","0","0","0"
"6206","C","Fabbian","5.5","0","0","0","0","0","0","0","0","0"
"4436","A","Cambiaghi","5.5","0","0","0","0","0","0","0","0","0"
"6572","A","Castro S.","5.5","0","0","0","0","0","0","0","0","0"
"6643","A","Dallinga","7","1","0","0","0","0","0","0","0","0"
"6895","A","Dominguez B.","6","0","0","0","0","0","0","0","0","0"
"4993","ALL","Italiano","5.5","0","0","0","0","0","0","0","0","0"
"Cagliari","","","","","","","","","","","",""
"Cod.","Ruolo","Nome","Voto","Gf","Gs","Rp","Rs","Rf","Au","Amm","Esp","Ass"
"4360","P","Caprile","6","0","0","0","0","0","0","0","0","0"
"393","D","Luperto","6.5","0","0","0","0","0","0","0","0","0"
"650","D","Pintus","6*","0","0","0","0","0","0","0","0","0"
"4210","D","Mina","7","1","0","0","0","0","0","0","0","0"
"4421","D","Augello","6.5","0","0","0","0","0","0","0","0","1"
"4433","D","Zortea","7","0","0","0","0","0","0","0","0","1"
"4461","D","Zappa","6.5","0","0","0","0","0","0","0","0","0"
"440","C","Viola","6*","0","0","0","0","0","0","0","0","0"
"1871","C","Deiola","7","1","0","0","0","0","0","1","0","0"
"4364","C","Gaetano","6.5","0","0","0","0","0","0","0","0","0"
"4870","C","Adopo","6.5","0","0","0","0","0","0","0","0","0"
"4965","C","Marin","6","0","0","0","0","0","0","0","0","0"
"6232","C","Makoumbou","7","0","0","0","0","0","0","0","0","1"
"6424","C","Prati","6","0","0","0","0","0","0","0","0","0"
"4359","A","Piccoli","7","1","0","0","0","0","0","0","0","0"
"5297","A","Luvumbo","6.5","0","0","0","0","0","0","0","0","0"
"1911","ALL","Nicola","7","0","0","0","0","0","0","0","0","0"
"Como","","","","","","","","","","","",""
"Cod.","Ruolo","Nome","Voto","Gf","Gs","Rp","Rs","Rf","Au","Amm","Esp","Ass"
"6966","P","Butez","6.5","0","1","0","0","0","0","0","0","0"
"418","D","Goldaniga","6.5","0","0","0","0","0","0","1","0","0"
"4994","D","Vojvoda","5.5","0","0","0","0","0","0","0","0","0"
"5435","D","Moreno Alb.","6.5","0","0","0","0","0","0","0","0","0"
"6867","D","Valle","6*","0","0","0","0","0","0","0","0","0"
"6893","D","Kempf","5.5","0","0","0","0","0","0","0","0","0"
"6896","D","Van Der Brempt","6","0","0","0","0","0","0","0","0","0"
"4486","C","Strefezza","6","0","0","0","0","0","0","0","0","0"
"4658","C","Ikone'","5.5","0","0","0","0","0","0","0","0","0"
"5036","C","Caqueret","7","1","0","0","0","0","0","1","0","0"
"5559","C","Da Cunha","5.5","0","0","0","0","0","0","0","0","0"
"6151","C","Perrone","5.5","0","0","0","0","0","0","1","0","0"
"6875","C","Paz N.","6","0","0","0","0","0","0","0","0","0"
"2155","A","Cutrone","5.5","0","0","0","0","0","0","0","0","0"
"6657","A","Gabrielloni","6*","0","0","0","0","0","0","0","0","0"
"7017","A","Douvikas","7","0","0","0","0","0","0","0","0","1"
