Voti Fantacalcio 23ª giornata di campionato,,,,,,,,,,,,
Solo su www.fantacalcio.it i voti ufficiali per la tua lega,,,,,,,,,,,,
QUESTO FILE NON PUO' ESSERE RIPRODOTTO NE' PUBBLICATO SU ALTRI SITI INTERNET,,,,,,,,,,,,
E' DA CONSIDERARSI AD USO PERSONALE ESCLUSIVO DEGLI ISCRITTI DI FANTACALCIO.IT,,,,,,,,,,,,
Atalanta,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
4270,P,Rui Patricio,6,0,1,0,0,0,0,0,0,0
695,D,Toloi,6,0,0,0,0,0,0,0,0,0
697,D,Cuadrado,6.5,0,0,0,0,0,0,0,0,0
787,D,Djimsiti,7,1,0,0,0,0,0,0,0,0
2640,D,Kolasinac,6,0,0,0,0,0,0,0,0,0
4887,D,Bellanova,6.5,0,0,0,0,0,0,0,0,1
5354,D,Ruggeri,5.5,0,0,0,0,0,0,0,0,0
6046,D,Hien,6.5,0,0,0,0,0,0,0,0,0
22,C,De Roon,6,0,0,0,0,0,0,0,0,0
2077,C,Pasalic,6,0,0,0,0,0,0,0,0,0
4947,C,Brescianini,5.5,0,0,0,0,0,0,0,0,0
5119,C,Samardzic,6,0,0,0,0,0,0,0,0,0
5792,C,Ederson D.s.,5.5,0,0,0,0,0,0,0,0,0
2137,A,Scamacca,6*,0,0,0,0,0,0,0,0,0
5995,A,De Ketelaere,6,0,0,0,0,0,0,0,0,0
6228,A,Retegui,5,0,0,0,1,0,0,0,0,0
684,ALL,Gasperini,6,0,0,0,0,0,0,0,0,0
Bologna,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
133,P,Skorupski,6,0,0,0,0,0,0,0,0,0
487,D,De Silvestri,7,1,0,0,0,0,0,0,0,0
2653,D,Lykogiannis,7,0,0,0,0,0,0,1,0,1
4734,D,Miranda J.,6.5,0,0,0,0,0,0,0,0,1
6042,D,Lucumi',6.5,0,0,0,0,0,0,0,0,0
6202,D,Beukema,6,0,0,0,0,0,0,0,0,0
788,C,Freuler,6.5,0,0,0,0,0,0,1,0,0
5564,C,Ndoye,6,0,0,0,0,0,0,1,0,0
6054,C,Moro N.,6.5,0,0,0,0,0,0,0,0,0
6206,C,Fabbian,7,1,0,0,0,0,0,0,0,0
6225,C,El Azzouzi,6*,0,0,0,0,0,0,0,0,0
