Voti Fantacalcio 19ª giornata di campionato,,,,,,,,,,,,
Solo su www.fantacalcio.it i voti ufficiali per la tua lega,,,,,,,,,,,,
QUESTO FILE NON PUO' ESSERE RIPRODOTTO NE' PUBBLICATO SU ALTRI SITI INTERNET,,,,,,,,,,,,
E' DA CONSIDERARSI AD USO PERSONALE ESCLUSIVO DEGLI ISCRITTI DI FANTACALCIO.IT,,,,,,,,,,,,
Atalanta,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
2167,C,Orsolini,6.5,0,0,0,0,0,0,0,0,1
5298,C,Pobega,6,0,0,0,0,0,0,0,0,0
5564,C,Ndoye,6,0,0,0,0,0,0,0,0,0
5858,C,Ferguson,6,0,0,0,0,0,0,0,0,0
6054,C,Moro N.,6.5,0,0,0,0,0,0,0,0,0
2765,A,Odgaard,6,0,0,0,0,0,0,0,0,0
6572,A,Castro S.,7,1,0,0,0,0,0,0,0,0
6643,A,Dallinga,6*,0,0,0,0,0,0,0,0,0
4993,ALL,Italiano,6.5,0,0,0,0,0,0,0,0,0
Cagliari,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
574,P,Scuffet,6.5,0,1,0,0,0,0,0,0,0
393,D,Luperto,6.5,0,0,0,0,0,0,0,0,0
2181,D,Palomino,6,0,0,0,0,0,0,0,0,0
4210,D,Mina,6.5,0,0,0,0,0,0,1,0,0
4421,D,Augello,6,0,0,0,0,0,0,0,0,0
4433,D,Zortea,7,1,0,0,0,0,0,0,0,0
4461,D,Zappa,6,0,0,0,0,0,0,0,0,0
5701,D,Obert,6.5,0,0,0,0,0,0,0,0,1
440,C,Viola,6.5,0,0,0,0,0,0,0,0,0
4870,C,Adopo,6,0,0,0,0,0,0,0,0,0
4965,C,Marin,6*,0,0,0,0,0,0,0,0,0
6232,C,Makoumbou,5.5,0,0,0,0,0,0,0,0,0
6640,C,Felici,6.5,0,0,0,0,0,0,0,0,1
247,A,Pavoletti,6*,0,0,0,0,0,0,0,0,0
1939,A,Lapadula,6,0,0,0,0,0,0,0,0,0
4359,A,Piccoli,7,1,0,0,0,0,0,1,0,0
