Voti Fantacalcio 33ª giornata di campionato,,,,,,,,,,,,
Solo su www.fantacalcio.it i voti ufficiali per la tua lega,,,,,,,,,,,,
QUESTO FILE NON PUO' ESSERE RIPRODOTTO NE' PUBBLICATO SU ALTRI SITI INTERNET,,,,,,,,,,,,
E' DA CONSIDERARSI AD USO PERSONALE ESCLUSIVO DEGLI ISCRITTI DI FANTACALCIO.IT,,,,,,,,,,,,
Atalanta,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
4431,P,Carnesecchi,6,0,0,0,0,0,0,0,0,0
554,D,Zappacosta,5.5,0,0,0,0,0,0,0,0,0
695,D,Toloi,6,0,0,0,0,0,0,0,0,0
697,D,Cuadrado,6,0,0,0,0,0,0,1,0,0
787,D,Djimsiti,6.5,0,0,0,0,0,0,0,0,0
4887,D,Bellanova,7,0,0,0,0,0,0,0,0,1
5354,D,Ruggeri,6.5,0,0,0,0,0,0,0,0,0
5578,D,Kossounou,6.5,0,0,0,0,0,0,0,0,0
6046,D,Hien,6.5,0,0,0,0,0,0,0,0,0
22,C,De Roon,6.5,0,0,0,0,0,0,0,0,0
2077,C,Pasalic,5.5,0,0,0,0,0,0,0,0,0
5792,C,Ederson D.s.,7,1,0,0,0,0,0,0,0,0
6024,C,Sulemana I.,6*,0,0,0,0,0,0,0,0,0
4730,A,Lookman,6.5,0,0,0,0,0,0,0,0,0
5995,A,De Ketelaere,6*,0,0,0,0,0,0,0,0,0
6228,A,Retegui,5.5,0,0,0,0,0,0,0,0,0
684,ALL,Gasperini,6.5,0,0,0,0,0,0,0,0,0
Bologna,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
2722,P,Ravaglia F.,6,0,0,0,0,0,0,0,0,0
4734,D,Miranda J.,6.5,0,0,0,0,0,0,0,0,0
5678,D,Holm,5.5,0,0,0,0,0,0,0,0,0
6042,D,Lucumi',6.5,0,0,0,0,0,0,0,0,0
6202,D,Beukema,6.5,0,0,0,0,0,0,0,0,0
788,C,Freuler,6,0,0,0,0,0,0,0,0,0
2167,C,Orsolini,7.5,1,0,0,0,0,0,1,0,0
5564,C,Ndoye,6.5,0,0,0,0,0,0,1,0,0
5784,C,Aebischer,6,0,0,0,0,0,0,0,0,0
6054,C,Moro N.,6*,0,0,0,0,0,0,0,0,0
6206,C,Fabbian,6*,0,0,0,0,0,0,0,0,0
2765,A,Odgaard,5.5,0,0,0,0,0,0,0,0,0
4436,A,Cambiaghi,6.5,0,0,0,0,0,0,0,0,0
