Voti Fantacalcio 3ª giornata di campionato,,,,,,,,,,,,
Solo su www.fantacalcio.it i voti ufficiali per la tua lega,,,,,,,,,,,,
QUESTO FILE NON PUO' ESSERE RIPRODOTTO NE' PUBBLICATO SU ALTRI SITI INTERNET,,,,,,,,,,,,
E' DA CONSIDERARSI AD USO PERSONALE ESCLUSIVO DEGLI ISCRITTI DI FANTACALCIO.IT,,,,,,,,,,,,
Atalanta,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
4431,P,Carnesecchi,6,0,4,0,0,0,0,0,0,0
554,D,Zappacosta,4.5,0,0,0,0,0,0,0,0,0
695,D,Toloi,5.5,0,0,0,0,0,0,0,0,0
787,D,Djimsiti,4.5,0,0,0,0,0,1,0,0,0
4887,D,Bellanova,5.5,0,0,0,0,0,0,0,0,0
5354,D,Ruggeri,5.5,0,0,0,0,0,0,0,0,0
6832,D,Palestra,6*,0,0,0,0,0,0,0,0,0
22,C,De Roon,5,0,0,0,0,0,0,1,0,0
2077,C,Pasalic,5,0,0,0,0,0,0,0,0,0
4947,C,Brescianini,5,0,0,0,0,0,0,0,0,0
5119,C,Samardzic,5.5,0,0,0,0,0,0,0,0,0
5792,C,Ederson D.s.,5,0,0,0,0,0,0,0,0,0
5995,A,De Ketelaere,6*,0,0,0,0,0,0,0,0,0
6228,A,Retegui,5,0,0,0,0,0,0,1,0,0
684,ALL,Gasperini,4,0,0,0,0,0,0,0,0,0
Bologna,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
133,P,Skorupski,6.5,0,1,0,0,0,0,0,0,0
487,D,De Silvestri,6*,0,0,0,0,0,0,0,0,0
4734,D,Miranda J.,6,0,0,0,0,0,0,0,0,0
6042,D,Lucumi',6,0,0,0,0,0,0,0,0,0
6066,D,Posch,5.5,0,0,0,0,0,0,0,0,0
6202,D,Beukema,6.5,0,0,0,0,0,0,0,0,1
788,C,Freuler,6,0,0,0,0,0,0,0,0,0
2167,C,Orsolini,5,0,0,0,0,0,0,0,0,0
5425,C,Urbanski,6*,0,0,0,0,0,0,0,0,0
5784,C,Aebischer,6,0,0,0,0,0,0,0,0,0
6054,C,Moro N.,5.5,0,0,0,0,0,0,0,0,0
6206,C,Fabbian,7,1,0,0,0,0,0,0,0,0
6459,C,Karlsson,5.5,0,0,0,0,0,0,0,0,0
2765,A,Odgaard,6,0,0,0,0,0,0,0,0,0
6572,A,Castro S.,5.5,0,0,0,0,0,0,0,0,0
6643,A,Dallinga,5.5,0,0,0,0,0,0,0,0,0
4993,ALL,Italiano,5.5,0,0,0,0,0,0,0,0,0
Cagliari,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
574,P,Scuffet,6,0,1,0,0,0,0,0,0,0
393,D,Luperto,6.5,0,0,0,0,0,0,0,0,0
2181,D,Palomino,6,0,0,0,0,0,0,0,0,0
4210,D,Mina,5.5,0,0,0,0,0,0,0,0,0
4421,D,Augello,5.5,0,0,0,0,0,0,0,0,0
4461,D,Zappa,5.5,0,0,0,0,0,0,1,0,0
6231,D,Azzi,5.5,0,0,0,0,0,0,0,0,0
440,C,Viola,5.5,0,0,0,0,0,0,0,0,0
1871,C,Deiola,5.5,0,0,0,0,0,0,0,0,0
4965,C,Marin,5.5,0,0,0,0,0,0,1,0,0
6424,C,Prati,5.5,0,0,0,0,0,0,0,0,0
6640,C,Felici,6,0,0,0,0,0,0,0,0,0
247,A,Pavoletti,6*,0,0,0,0,0,0,0,0,0
1939,A,Lapadula,5.5,0,0,0,0,0,0,1,0,0
4359,A,Piccoli,5,0,0,0,0,0,0,0,0,0
5297,A,Luvumbo,5.5,0,0,0,0,0,0,0,0,0
1911,ALL,Nicola,5,0,0,0,0,0,0,0,0,0
Como,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
387,P,Reina,6,0,1,0,0,0,0,0,0,0
4284,D,Sergi Roberto,6,0,0,0,0,0,0,0,0,0
5435,D,Moreno Alb.,6,0,0,0,0,0,0,0,0,0
6230,D,Dossena,6,0,0,0,0,0,0,0,0,0
6654,D,Iovine,5,0,0,0,0,0,0,0,0,0
6893,D,Kempf,6,0,0,0,0,0,0,0,0,0
6896,D,Van Der Brempt,6.5,0,0,0,0,0,0,0,0,0
