Voti Fantacalcio 6ª giornata di campionato,,,,,,,,,,,,
Solo su www.fantacalcio.it i voti ufficiali per la tua lega,,,,,,,,,,,,
QUESTO FILE NON PUO' ESSERE RIPRODOTTO NE' PUBBLICATO SU ALTRI SITI INTERNET,,,,,,,,,,,,
E' DA CONSIDERARSI AD USO PERSONALE ESCLUSIVO DEGLI ISCRITTI DI FANTACALCIO.IT,,,,,,,,,,,,
Atalanta,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
4431,P,Carnesecchi,6,0,1,0,0,0,0,0,0,0
697,D,Cuadrado,6,0,0,0,0,0,0,0,0,0
787,D,Djimsiti,5.5,0,0,0,0,0,0,0,0,0
2640,D,Kolasinac,5.5,0,0,0,0,0,0,0,0,0
4887,D,Bellanova,5.5,0,0,0,0,0,0,1,0,0
5354,D,Ruggeri,5.5,0,0,0,0,0,0,0,0,0
5578,D,Kossounou,5.5,0,0,0,0,0,0,1,0,0
22,C,De Roon,6,0,0,0,0,0,0,0,0,0
2077,C,Pasalic,5.5,0,0,0,0,0,0,0,0,0
2766,C,Zaniolo,6,0,0,0,0,0,0,0,0,0
4947,C,Brescianini,5.5,0,0,0,0,0,0,0,0,0
5119,C,Samardzic,7,1,0,0,0,0,0,0,0,0
5792,C,Ederson D.s.,6,0,0,0,0,0,0,1,0,0
4730,A,Lookman,6,0,0,0,0,0,0,0,0,0
5995,A,De Ketelaere,6.5,0,0,0,0,0,0,0,0,0
6228,A,Retegui,5.5,0,0,0,0,0,0,0,0,0
684,ALL,Gasperini,5.5,0,0,0,0,0,0,0,0,0
Bologna,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
133,P,Skorupski,6.5,0,1,0,0,0,0,1,0,0
2653,D,Lykogiannis,6.5,0,0,0,0,0,0,0,0,0
4982,D,Erlic,6,0,0,0,0,0,0,0,0,0
5498,D,Casale,6,0,0,0,0,0,0,0,0,0
5678,D,Holm,6*,0,0,0,0,0,0,0,0,0
6042,D,Lucumi',4.5,0,0,0,0,0,0,0,1,0
6066,D,Posch,6.5,0,0,0,0,0,0,0,0,0
6202,D,Beukema,6.5,0,0,0,0,0,0,0,0,0
788,C,Freuler,6.5,0,0,0,0,0,0,1,0,0
2167,C,Orsolini,5.5,0,0,0,0,0,0,0,0,0
5425,C,Urbanski,6,0,0,0,0,0,0,0,0,0
5564,C,Ndoye,6.5,0,0,0,0,0,0,0,0,1
5784,C,Aebischer,6,0,0,0,0,0,0,0,0,0
6206,C,Fabbian,5.5,0,0,0,0,0,0,1,0,0
6572,A,Castro S.,7.5,1,0,0,0,0,0,0,0,0
6643,A,Dallinga,6,0,0,0,0,0,0,0,0,0
4993,ALL,Italiano,6.5,0,0,0,0,0,0,0,0,0
Cagliari,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
574,P,Scuffet,6,0,2,0,0,0,0,0,0,0
393,D,Luperto,6.5,0,0,0,0,0,0,0,0,0
2181,D,Palomino,5,0,0,0,0,0,0,0,0,0
4210,D,Mina,6.5,0,0,0,0,0,0,0,0,0
4421,D,Augello,6.5,0,0,0,0,0,0,0,0,0
4433,D,Zortea,6.5,1,0,0,0,0,0,0,0,0
4461,D,Zappa,5.5,0,0,0,0,0,0,0,0,0
5701,D,Obert,6,0,0,0,0,0,0,1,0,0
440,C,Viola,7,0,0,0,0,0,0,0,0,0
4364,C,Gaetano,7,0,0,0,0,0,0,0,0,1
4870,C,Adopo,7,0,0,0,0,0,0,0,0,1
4965,C,Marin,7,1,0,0,0,0,0,0,0,0
6232,C,Makoumbou,6,0,0,0,0,0,0,0,0,0
4359,A,Piccoli,7.5,1,0,0,0,0,0,1,0,0
5297,A,Luvumbo,6.5,0,0,0,0,0,0,0,0,1
1911,ALL,Nicola,7.5,0,0,0,0,0,0,0,0,0
Como,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
761,P,Audero,6.5,0,2,0,0,0,0,0,0,0
4284,D,Sergi Roberto,5.5,0,0,0,0,0,0,1,0,0
5435,D,Moreno Alb.,7,0,0,0,0,0,0,0,0,0
6230,D,Dossena,6,0,0,0,0,0,0,0,0,0
6893,D,Kempf,6.5,0,0,0,0,0,0,0,0,0
6896,D,Van Der Brempt,6,0,0,0,0,0,0,0,0,0
556,C,Baselli,6*,0,0,0,0,0,0,0,0,0
