Voti Fantacalcio 9ª giornata di campionato,,,,,,,,,,,,
Solo su www.fantacalcio.it i voti ufficiali per la tua lega,,,,,,,,,,,,
QUESTO FILE NON PUO' ESSERE RIPRODOTTO NE' PUBBLICATO SU ALTRI SITI INTERNET,,,,,,,,,,,,
E' DA CONSIDERARSI AD USO PERSONALE ESCLUSIVO DEGLI ISCRITTI DI FANTACALCIO.IT,,,,,,,,,,,,
Atalanta,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
4431,P,Carnesecchi,6,0,1,0,0,0,0,0,0,0
554,D,Zappacosta,6,0,0,0,0,0,0,0,0,0
787,D,Djimsiti,6.5,0,0,0,0,0,0,0,0,0
2640,D,Kolasinac,7,0,0,0,0,0,0,0,0,0
4887,D,Bellanova,6,0,0,0,0,0,0,0,0,0
5354,D,Ruggeri,6.5,0,0,0,0,0,0,0,0,0
6046,D,Hien,6,0,0,0,0,0,0,0,0,0
6832,D,Palestra,6*,0,0,0,0,0,0,0,0,0
22,C,De Roon,7,1,0,0,0,0,0,0,0,0
2077,C,Pasalic,6,0,0,0,0,0,0,0,0,0
2766,C,Zaniolo,6,0,0,0,0,0,0,0,0,0
5119,C,Samardzic,6,0,0,0,0,0,0,0,0,0
5792,C,Ederson D.s.,6.5,0,0,0,0,0,0,0,0,1
4730,A,Lookman,8.5,2,0,0,0,0,0,0,0,1
5995,A,De Ketelaere,8,1,0,0,0,0,0,0,0,1
6228,A,Retegui,8,2,0,0,0,0,0,0,0,0
684,ALL,Gasperini,8,0,0,0,0,0,0,0,0,0
Bologna,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
133,P,Skorupski,6,0,1,0,0,0,0,0,0,0
357,D,Calabria,6*,0,0,0,0,0,0,0,0,0
487,D,De Silvestri,5.5,0,0,0,0,0,0,0,0,0
4734,D,Miranda J.,5.5,0,0,0,0,0,0,0,0,0
5498,D,Casale,6,0,0,0,0,0,0,1,0,0
6202,D,Beukema,6.5,0,0,0,0,0,0,0,0,0
788,C,Freuler,6.5,0,0,0,0,0,0,0,0,0
5298,C,Pobega,6,0,0,0,0,0,0,0,0,0
5564,C,Ndoye,7,1,0,0,0,0,0,0,0,0
5858,C,Ferguson,6.5,0,0,0,0,0,0,0,0,0
6206,C,Fabbian,6,0,0,0,0,0,0,0,0,0
2765,A,Odgaard,6.5,0,0,0,0,0,0,0,0,0
4436,A,Cambiaghi,6.5,0,0,0,0,0,0,0,0,1
6572,A,Castro S.,7,1,0,0,0,0,0,0,0,0
6643,A,Dallinga,6*,0,0,0,0,0,0,0,0,0
6895,A,Dominguez B.,6,0,0,0,0,0,0,0,0,0
4993,ALL,Italiano,7,0,0,0,0,0,0,0,0,0
Cagliari,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
574,P,Scuffet,6,0,2,0,0,0,0,0,0,0
393,D,Luperto,5.5,0,0,0,0,0,0,0,0,0
4210,D,Mina,5.5,0,0,0,0,0,0,0,0,0
4421,D,Augello,5.5,0,0,0,0,0,0,0,0,0
4433,D,Zortea,6,0,0,0,0,0,0,0,0,0
4461,D,Zappa,5.5,0,0,0,0,0,0,0,0,0
6231,D,Azzi,5.5,0,0,0,0,0,0,1,0,0
1871,C,Deiola,6,0,0,0,0,0,0,0,0,0
4364,C,Gaetano,6,0,0,0,0,0,0,0,0,0
4870,C,Adopo,5.5,0,0,0,0,0,0,0,0,0
4965,C,Marin,5.5,0,0,0,0,0,0,0,0,0
6232,C,Makoumbou,4,0,0,0,0,0,0,0,1,0
6424,C,Prati,6*,0,0,0,0,0,0,0,0,0
1939,A,Lapadula,5.5,0,0,0,0,0,0,0,0,0
4359,A,Piccoli,5.5,0,0,0,0,0,0,0,0,0
5297,A,Luvumbo,6,0,0,0,0,0,0,0,0,0
1911,ALL,Nicola,5.5,0,0,0,0,0,0,0,0,0
Como,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
761,P,Audero,6,0,1,0,0,0,0,0,0,0
418,D,Goldaniga,6.5,0,0,0,0,0,0,1,0,0
4284,D,Sergi Roberto,6,0,0,0,0,0,0,0,0,0
5435,D,Moreno Alb.,5.5,0,0,0,0,0,0,0,0,0
6230,D,Dossena,6.5,0,0,0,0,0,0,0,0,0
6893,D,Kempf,6,0,0,0,0,0,0,0,0,0
1976,C,Mazzitelli,6*,0,0,0,0,0,0,0,0,0
4486,C,Strefezza,6.5,0,0,0,0,0,0,1,0,0
5559,C,Da Cunha,5.5,0,0,0,0,0,0,0,0,0
6151,C,Perrone,5.5,0,0,0,0,0,0,0,0,0
6656,C,Braunoder,4.5,0,0,0,0,0,0,0,0,0
6815,C,Fadera,5,0,0,0,0,0,0,0,0,0
6875,C,Paz N.,6.5,0,0,0,0,0,0,1,0,0
441,A,Belotti,6*,0,0,0,0,0,0,0,0,0
2155,A,Cutrone,5.5,0,0,0,0,0,0,0,0,0
6648,A,Jasim,6*,0,0,0,0,0,0,0,0,0
2485,ALL,Fabregas,5.5,0,0,0,0,0,0,0,0,0
Empoli,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
6125,P,Vasquez D.,5.5,0,1,0,0,0,0,1,0,0
770,D,Pezzella Giu.,5.5,0,0,0,0,0,0,0,0,0
5010,D,Ismajli,6.5,0,0,0,0,0,0,1,0,0
5718,D,Viti,6,0,0,0,0,0,0,0,0,0
6537,D,Goglichidze,6,0,0,0,0,0,0,0,0,0
27,C,Grassi,6,0,0,0,0,0,0,1,0,0
2161,C,Haas,6*,0,0,0,0,0,0,0,0,0
4498,C,Henderson L.,6,0,0,0,0,0,0,0,0,0
4992,C,Gyasi,6,0,0,0,0,0,0,0,0,0
5457,C,Maleh,5.5,0,0,0,0,0,0,0,0,0
6010,C,Fazzini,7,0,0,0,0,0,0,0,0,0
6889,C,Anjorin,6,0,0,0,0,0,0,1,0,0
2103,A,Pellegri,5.5,0,0,0,0,0,0,1,0,0
4923,A,Colombo,6.5,0,0,0,0,0,0,0,0,0
6011,A,Ekong,6*,0,0,0,0,0,0,0,0,0
6119,A,Solbakken,5.5,0,0,0,0,0,0,0,0,0
2824,ALL,D'Aversa,6,0,0,0,0,0,0,0,0,0
Fiorentina,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
2521,P,De Gea,6.5,0,1,0,0,0,0,0,0,0
2160,D,Gosens,6,0,0,0,0,0,0,0,0,0
4378,D,Ranieri L.,6,0,0,0,0,0,0,1,0,0
5323,D,Martinez Quarta,6,0,0,0,0,0,0,0,0,0
5885,D,Dodo',7,0,0,0,0,0,0,0,0,0
6495,D,Comuzzo,6.5,0,0,0,0,0,0,0,0,0
333,C,Cataldi,6,0,0,0,0,0,0,0,0,0
2839,C,Sottil,6.5,0,0,0,0,0,0,0,0,0
4658,C,Ikone',6,0,0,0,0,0,0,0,0,0
5423,C,Bove,8,1,0,0,0,0,0,0,0,1
5875,C,Adli,6.5,0,0,0,0,0,0,0,0,1
5878,C,Colpani,6.5,0,0,0,0,0,0,0,0,0
6804,C,Richardson,6,0,0,0,0,0,0,0,0,0
2097,A,Kean,8,2,0,0,0,0,0,1,0,0
2762,A,Kouame',6,0,0,0,0,0,0,0,0,0
6409,A,Beltran L.,7.5,0,0,0,0,1,0,0,0,1
1909,ALL,Palladino,7.5,0,0,0,0,0,0,0,0,0
Genoa,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
188,P,Leali,6,0,3,0,0,0,0,0,0,0
791,D,Sabelli,5.5,0,0,0,0,0,0,1,0,0
2593,D,Martin,5.5,0,0,0,0,0,0,0,0,0
5514,D,Vasquez,5,0,0,0,0,0,0,0,0,0
5527,D,Zanoli,5.5,0,0,0,0,0,0,0,0,0
6244,D,Matturro,5.5,0,0,0,0,0,0,0,0,0
6245,D,Vogliacco,5.5,0,0,0,0,0,0,0,0,0
6814,D,Norton-Cuffy,5.5,0,0,0,0,0,0,0,0,0
170,C,Badelj,5.5,0,0,0,0,0,0,0,0,0
2121,C,Melegoni,6,0,0,0,0,0,0,0,0,0
4404,C,Thorsby,5.5,0,0,0,0,0,0,0,0,0
5791,C,Frendrup,6,0,0,0,0,0,0,0,0,0
5813,C,Miretti,5.5,0,0,0,0,0,0,0,0,0
2038,A,Pinamonti,5.5,0,0,0,0,0,0,0,0,0
6565,A,Ankeye,6*,0,0,0,0,0,0,0,0,0
6822,A,Ekhator,6,0,0,0,0,0,0,0,0,0
698,ALL,Gilardino,5,0,0,0,0,0,0,0,0,0
Inter,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
2428,P,Sommer,5.5,0,4,0,0,0,0,0,0,0
254,D,Dimarco,6,0,0,0,0,0,0,0,0,0
322,D,De Vrij,5,0,0,0,0,0,0,0,0,0
2120,D,Bastoni,5.5,0,0,0,0,0,0,0,0,0
2525,D,Darmian,6,0,0,0,0,0,0,0,0,0
4177,D,Pavard,6,0,0,0,0,0,0,1,0,0
5513,D,Dumfries,6,1,0,0,0,0,0,1,0,0
6217,D,Bisseck,5.5,0,0,0,0,0,0,0,0,0
152,C,Zielinski,7.5,0,0,0,0,2,0,0,0,0
1870,C,Barella,6.5,0,0,0,0,0,0,0,0,0
2529,C,Mkhitaryan,7,1,0,0,0,0,0,0,0,0
2848,C,Frattesi,6,0,0,0,0,0,0,0,0,0
2764,A,Martinez L.,5.5,0,0,0,0,0,0,0,0,0
4871,A,Thuram,7.5,0,0,0,0,0,0,0,0,1
6628,A,Taremi,6*,0,0,0,0,0,0,0,0,0
826,ALL,Inzaghi S.,6,0,0,0,0,0,0,0,0,0
Juventus,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
5876,P,Di Gregorio,6.5,0,4,0,0,0,0,0,0,0
4237,D,Danilo,4,0,0,0,0,0,0,1,0,0
4976,D,Kalulu,5,0,0,0,0,0,0,0,0,0
5520,D,Cambiaso,6,0,0,0,0,0,0,0,0,0
5831,D,Gatti,6,0,0,0,0,0,0,0,0,0
6039,D,Cabal,5.5,0,0,0,0,0,0,1,0,0
6802,D,Savona,6,0,0,0,0,0,0,0,0,0
827,C,Locatelli,5.5,0,0,0,0,0,0,0,0,0
4465,C,Fagioli,5.5,0,0,0,0,0,0,0,0,0
4662,C,Weah,7,1,0,0,0,0,0,0,0,0
4973,C,McKennie,6.5,0,0,0,0,0,0,0,0,1
5562,C,Thuram K.,6*,0,0,0,0,0,0,0,0,0
6884,C,Conceicao,7,0,0,0,0,0,0,0,0,1
2841,A,Vlahovic,7,1,0,0,0,0,0,0,0,0
6434,A,Yildiz,8,2,0,0,0,0,0,0,0,0
6833,A,Mbangula,6,0,0,0,0,0,0,0,0,0
4861,ALL,Thiago Motta,6,0,0,0,0,0,0,0,0,0
Lazio,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
2814,P,Provedel,6.5,0,0,0,0,0,0,0,0,0
327,D,Patric,6,0,0,0,0,0,0,0,0,0
2188,D,Marusic,6,0,0,0,0,0,0,1,0,0
5620,D,Tavares N.,7.5,0,0,0,0,0,0,0,0,1
5833,D,Gila,6,0,0,0,0,0,0,1,0,0
5899,D,Gigot,6*,0,0,0,0,0,0,0,0,0
181,C,Vecino,6.5,1,0,0,0,0,0,0,0,0
4186,C,Guendouzi,6,0,0,0,0,0,0,0,0,0
4377,C,Castrovilli,6*,0,0,0,0,0,0,0,0,0
4459,C,Rovella,6.5,0,0,0,0,0,0,0,0,0
5919,C,Tchaouna,6,0,0,0,0,0,0,0,0,0
2489,A,Pedro,7,1,0,0,0,0,0,0,0,0
5672,A,Dia,6,0,0,0,0,0,0,0,0,0
6226,A,Castellanos,6.5,0,0,0,0,0,0,0,0,0
6398,A,Isaksen,5.5,0,0,0,0,0,0,0,0,0
6556,A,Noslin,7,1,0,0,0,0,0,1,0,0
2248,ALL,Baroni,6.5,0,0,0,0,0,0,0,0,0
Lecce,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
2134,P,Falcone,6.5,0,1,0,0,0,0,0,0,0
5835,D,Baschirotto,6.5,0,0,0,0,0,0,0,0,0
6257,D,Dorgu,6,0,0,0,0,0,0,0,0,0
6632,D,Gaspar K.,6.5,0,0,0,0,0,0,0,0,0
6806,D,Pelmard,6,0,0,0,0,0,0,0,0,0
5504,C,Coulibaly L.,6,0,0,0,0,0,0,0,0,0
6061,C,Oudin,6*,0,0,0,0,0,0,0,0,0
6222,C,Rafia,6.5,0,0,0,0,0,0,0,0,0
6394,C,Ramadani,6,0,0,0,0,0,0,0,0,0
6633,C,Pierret,6,0,0,0,0,0,0,0,0,0
186,A,Rebic,6,0,0,0,0,0,0,1,0,0
537,A,Sansone,6,0,0,0,0,0,0,0,0,0
6001,A,Banda,6.5,0,0,0,0,0,0,0,0,0
6435,A,Krstovic,5.5,0,0,0,0,0,0,0,0,0
6549,A,Pierotti,5.5,0,0,0,0,0,0,1,0,0
1860,ALL,Gotti,6,0,0,0,0,0,0,0,0,0
Milan,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
4312,P,Maignan,6,0,2,0,0,0,0,0,0,0
4292,D,Hernandez T.,6,0,0,0,0,0,0,1,0,0
5022,D,Pavlovic,5,0,0,0,0,0,0,0,0,0
6055,D,Thiaw,5.5,0,0,0,0,0,0,1,0,0
6531,D,Jimenez A.,5.5,0,0,0,0,0,0,0,0,0
2423,C,Pulisic,5.5,0,0,0,0,0,0,0,0,0
4686,C,Fofana Y.,6,0,0,0,0,0,0,0,0,0
5295,C,Musah,6,0,0,0,0,0,0,0,0,0
6224,C,Reijnders,5.5,0,0,0,0,0,0,0,0,0
2438,A,Jovic,6,0,0,0,0,0,0,0,0,0
2544,A,Abraham,6*,0,0,0,0,0,0,0,0,0
4510,A,Leao,7,1,0,0,0,0,0,0,0,0
4811,A,Joao Felix,5.5,0,0,0,0,0,0,0,0,0
7008,A,Gimenez,6,0,0,0,0,0,0,0,0,1
6960,ALL,Conceicao S.,5,0,0,0,0,0,0,0,0,0
Monza,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
4867,P,Turati,6,0,2,0,0,0,0,0,0,0
226,D,Izzo,5.5,0,0,0,0,0,0,0,0,0
253,D,D'Ambrosio,5.5,0,0,0,0,0,0,0,0,0
729,D,Pereira P.,6,0,0,0,0,0,0,0,0,0
4530,D,Kyriakopoulos,7.5,1,0,0,0,0,0,0,0,1
4904,D,Mari',6.5,0,0,0,0,0,0,0,0,0
4925,D,Carboni A.,5,0,0,0,0,0,0,0,0,0
2274,C,Valoti,6*,0,0,0,0,0,0,0,0,0
2741,C,Pessina,6,0,0,0,0,0,0,0,0,0
4896,C,Maldini,6,0,0,0,0,0,0,0,0,0
5516,C,Bianco,6,0,0,0,0,0,0,0,0,0
5992,C,Bondo,5,0,0,0,0,0,0,0,1,0
1958,A,Caprari,6,0,0,0,0,0,0,0,0,0
5471,A,Djuric,7,1,0,0,0,0,0,1,0,0
5882,A,Mota,6.5,0,0,0,0,0,0,1,0,0
6621,ALL,Nesta,6,0,0,0,0,0,0,0,0,0
Napoli,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
572,P,Meret,6.5,0,0,0,0,0,0,0,0,0
2724,D,Buongiorno,7,0,0,0,0,0,0,0,0,0
2816,D,Di Lorenzo,7,1,0,0,0,0,0,1,0,0
4409,D,Rrahmani,6.5,0,0,0,0,0,0,0,0,0
5840,D,Olivera,6.5,0,0,0,0,0,0,1,0,0
536,C,Politano,6,0,0,0,0,0,0,0,0,0
4220,C,Zambo Anguissa,6,0,0,0,0,0,0,0,0,0
4777,C,McTominay,6.5,0,0,0,0,0,0,0,0,0
5131,C,Gilmour,6,0,0,0,0,0,0,0,0,0
6252,C,Folorunsho,6*,0,0,0,0,0,0,0,0,0
6831,C,Neres,6,0,0,0,0,0,0,0,0,0
2531,A,Lukaku,5.5,0,0,0,0,0,0,0,0,0
4371,A,Raspadori,5.5,0,0,0,0,0,0,0,0,0
5839,A,Kvaratskhelia,6,0,0,0,0,0,0,0,0,0
6145,A,Ngonge,5.5,0,0,0,0,0,0,1,0,0
4416,ALL,Conte,6.5,0,0,0,0,0,0,0,0,0
Parma,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
6641,P,Suzuki,5.5,0,1,0,0,0,0,0,0,0
5353,D,Balogh,5.5,0,0,0,0,0,0,1,0,0
5862,D,Valeri,6.5,0,0,0,0,0,0,0,0,1
6664,D,Delprato,5,0,0,0,0,0,0,1,0,0
6665,D,Coulibaly W.,5.5,0,0,0,0,0,1,0,0,0
4423,C,Hernani,5,0,0,0,0,0,0,1,0,0
5319,C,Sohm,5.5,0,0,0,0,0,0,1,0,0
5393,C,Man,6,0,0,0,0,0,0,0,0,0
5421,C,Camara D.,6*,0,0,0,0,0,0,0,0,0
6666,C,Bernabe',6.5,0,0,0,0,0,0,0,0,0
6898,C,Keita M.,6,0,0,0,0,0,0,0,0,0
5322,A,Mihaila,6*,0,0,0,0,0,0,0,0,0
5500,A,Cancellieri,6,0,0,0,0,0,0,0,0,0
6207,A,Almqvist,6.5,0,0,0,0,0,0,0,0,0
6669,A,Bonny,5.5,0,0,0,1,0,0,0,0,0
6670,A,Charpentier,7,1,0,0,0,0,0,0,0,0
2282,ALL,Pecchia,6,0,0,0,0,0,0,0,0,0
Roma,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
5841,P,Svilar,6,0,5,0,0,0,0,0,0,0
2296,D,Mancini,5.5,0,0,0,0,0,0,1,0,0
2406,D,Hummels,5,0,0,0,0,0,1,0,0,0
4317,D,N'Dicka,4.5,0,0,0,0,0,0,0,0,0
4657,D,Celik,4,0,0,0,0,0,0,0,0,0
4772,D,Angelino,5.5,0,0,0,0,0,0,0,0,0
4807,D,Hermoso,4,0,0,0,0,0,0,0,1,0
530,C,Pellegrini Lo.,5,0,0,0,0,0,0,0,0,0
779,C,Cristante,5.5,0,0,0,0,0,0,0,0,0
5422,C,Zalewski,5,0,0,0,0,0,0,0,0,0
5589,C,Kone' M.,6,1,0,0,0,0,0,1,0,0
5823,C,Baldanzi,5,0,0,0,0,0,0,0,0,0
6190,C,Pisilli,5,0,0,0,0,0,0,1,0,0
309,A,Dybala,6,0,0,0,0,0,0,0,0,0
6675,A,Dovbyk,5,0,0,0,0,0,0,0,0,0
1924,ALL,Juric,3.5,0,0,0,0,0,0,0,0,0
Torino,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
2170,P,Milinkovic-Savic V.,7.5,0,0,0,0,0,0,0,0,0
49,D,Masina,6,0,0,0,0,0,0,1,0,0
4374,D,Walukiewicz,6,0,0,0,0,0,0,0,0,0
4385,D,Lazaro,6.5,0,0,0,0,0,0,0,0,0
4665,D,Maripan,6.5,0,0,0,0,0,0,0,0,0
4994,D,Vojvoda,6.5,0,0,0,0,0,0,1,0,0
6642,D,Coco,6,0,0,0,0,0,0,0,0,0
6826,D,Dembele' A.,6*,0,0,0,0,0,0,0,0,0
2008,C,Linetty,6,0,0,0,0,0,0,1,0,0
4890,C,Tameze,6,0,0,0,0,0,0,0,0,0
5453,C,Ricci S.,6,0,0,0,0,0,0,0,0,0
5687,C,Vlasic,5.5,0,0,0,0,0,0,0,0,0
6170,C,Gineitis,6,0,0,0,0,0,0,0,0,0
479,A,Sanabria,5.5,0,0,0,0,0,0,0,0,0
6646,A,Adams C.,5.5,0,0,0,0,0,0,0,0,0
6827,A,Njie,7,1,0,0,0,0,0,0,0,0
6619,ALL,Vanoli,6,0,0,0,0,0,0,0,0,0
Udinese,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
6462,P,Okoye,6,0,0,0,0,0,0,0,0,0
4263,D,Kabasele,6.5,0,0,0,0,0,0,0,0,0
5555,D,Kamara H.,6.5,0,0,0,0,0,0,0,0,1
5847,D,Bijol,6.5,0,0,0,0,0,0,0,0,0
5900,D,Toure' I.s.,6.5,0,0,0,0,0,0,1,0,0
6047,D,Ehizibue,6,0,0,0,0,0,0,0,0,0
6211,D,Zemura,6*,0,0,0,0,0,0,0,0,0
6533,D,Giannetti L.,6*,0,0,0,0,0,0,0,0,0
5850,C,Lovric,6.5,0,0,0,0,0,0,0,0,0
6212,C,Zarraga,6,0,0,0,0,0,0,0,0,0
6481,C,Payero,6.5,0,0,0,0,0,0,0,0,0
6680,C,Karlstrom,6.5,0,0,0,0,0,0,0,0,0
6900,C,Rui Modesto,6,0,0,0,0,0,0,0,0,0
5637,A,Davis K.,7,1,0,0,0,0,0,0,0,0
6215,A,Lucca,7,1,0,0,0,0,0,1,0,0
6653,A,Bravo,6,0,0,0,0,0,0,0,0,0
6623,ALL,Runjaic,6.5,0,0,0,0,0,0,0,0,0
Venezia,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
6248,P,Stankovic F.,6,0,2,0,0,0,0,0,0,0
1952,D,Zampano,5.5,0,0,0,0,0,0,1,0,0
5447,D,Altare,6.5,0,0,0,0,0,0,0,0,0
5484,D,Svoboda,5,1,0,0,0,0,0,0,0,0
5695,D,Haps,6,0,0,0,0,0,0,0,0,0
6672,D,Idzes,6,0,0,0,0,0,0,0,0,0
526,C,Duncan,5.5,0,0,0,0,0,0,0,0,0
4349,C,Nicolussi Caviglia,6,0,0,0,0,0,0,0,0,0
5507,C,Busio,6,0,0,0,0,0,0,1,0,0
6020,C,Ellertsson,7,1,0,0,0,0,0,0,0,0
6218,C,Oristanio,6.5,0,0,0,0,0,0,0,0,1
6674,C,Andersen M.K.,6,0,0,0,0,0,0,0,0,1
6904,C,Yeboah J.,5.5,0,0,0,0,0,0,0,0,0
5079,A,Pohjanpalo,5.5,0,0,0,0,0,0,0,0,0
5436,A,Raimondo,6*,0,0,0,0,0,0,0,0,0
5881,A,Gytkjaer,6,0,0,0,0,0,0,0,0,0
691,ALL,Di Francesco,6,0,0,0,0,0,0,0,0,0
Verona,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
4957,P,Montipo',6.5,0,6,0,0,0,0,0,0,0
2769,D,Magnani,4,0,0,0,0,0,0,0,0,0
5532,D,Bradaric,4.5,0,0,0,0,0,0,1,0,0
5554,D,Daniliuc,5.5,0,0,0,0,0,0,0,0,0
5764,D,Coppola D.,4.5,0,0,0,0,0,0,0,0,0
6480,D,Tchatchoua,5.5,0,0,0,0,0,0,0,0,0
6631,D,Ghilardi,4,0,0,0,0,0,0,0,0,0
236,C,Lazovic,5.5,0,0,0,0,0,0,0,0,0
2117,C,Kastanos,5,0,0,0,0,0,0,0,0,0
6048,C,Alidou,6*,0,0,0,0,0,0,0,0,0
6191,C,Belahyane,5,0,0,0,0,0,0,0,0,1
6458,C,Serdar,4.5,0,0,0,0,0,0,0,0,0
6486,C,Suslov,5.5,0,0,0,0,0,0,0,0,0
6562,C,Dani Silva,5.5,0,0,0,0,0,0,0,0,0
6159,A,Sarr A.,6.5,1,0,0,0,0,0,0,0,0
6644,A,Rocha Livramento,5,0,0,0,0,0,0,0,0,0
5497,ALL,Zanetti,4.5,0,0,0,0,0,0,0,0,0
