Voti Fantacalcio 25ª giornata di campionato,,,,,,,,,,,,
Solo su www.fantacalcio.it i voti ufficiali per la tua lega,,,,,,,,,,,,
QUESTO FILE NON PUO' ESSERE RIPRODOTTO NE' PUBBLICATO SU ALTRI SITI INTERNET,,,,,,,,,,,,
E' DA CONSIDERARSI AD USO PERSONALE ESCLUSIVO DEGLI ISCRITTI DI FANTACALCIO.IT,,,,,,,,,,,,
Atalanta,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
4431,P,Carnesecchi,6,0,0,0,0,0,0,0,0,0
695,D,Toloi,6.5,0,0,0,0,0,0,0,0,0
697,D,Cuadrado,6,0,0,0,0,0,0,0,0,0
5354,D,Ruggeri,6.5,0,0,0,0,0,0,0,0,0
6046,D,Hien,6,0,0,0,0,0,0,1,0,0
6066,D,Posch,5.5,0,0,0,0,0,0,0,0,0
6832,D,Palestra,6,0,0,0,0,0,0,0,0,0
22,C,De Roon,6,0,0,0,0,0,0,0,0,0
2077,C,Pasalic,5.5,0,0,0,0,0,0,0,0,0
4947,C,Brescianini,6,0,0,0,0,0,0,0,0,0
5119,C,Samardzic,5,0,0,0,0,0,0,0,0,0
5792,C,Ederson D.s.,6,0,0,0,0,0,0,0,0,0
6024,C,Sulemana I.,5,0,0,0,0,0,0,0,0,0
5995,A,De Ketelaere,6,0,0,0,0,0,0,0,0,0
6228,A,Retegui,5.5,0,0,0,0,0,0,0,0,0
6912,A,Vlahovic V.,6,0,0,0,0,0,0,0,0,0
684,ALL,Gasperini,4.5,0,0,0,0,0,0,0,0,0
Bologna,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
133,P,Skorupski,6.5,0,2,0,0,0,0,0,0,0
357,D,Calabria,6*,0,0,0,0,0,0,0,0,0
4734,D,Miranda J.,6.5,0,0,0,0,0,0,0,0,0
5498,D,Casale,5.5,0,0,0,0,0,0,0,0,0
5678,D,Holm,5.5,0,0,0,0,0,0,0,0,0
6042,D,Lucumi',5,0,0,0,0,0,0,0,0,0
6202,D,Beukema,5,0,0,0,0,0,0,0,0,0
788,C,Freuler,6.5,0,0,0,0,0,0,0,0,0
5298,C,Pobega,7.5,0,0,0,0,0,0,0,0,1
5564,C,Ndoye,7.5,1,0,0,0,1,0,0,0,0
5784,C,Aebischer,6*,0,0,0,0,0,0,0,0,0
6054,C,Moro N.,6,0,0,0,0,0,0,0,0,0
6206,C,Fabbian,6*,0,0,0,0,0,0,0,0,0
4436,A,Cambiaghi,6.5,0,0,0,0,0,0,0,0,0
6572,A,Castro S.,7,0,0,0,0,0,0,0,0,0
6895,A,Dominguez B.,6,0,0,0,0,0,0,0,0,0
4993,ALL,Italiano,7,0,0,0,0,0,0,0,0,0
Cagliari,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
4360,P,Caprile,6.5,0,0,0,0,0,0,0,0,0
393,D,Luperto,7,0,0,0,0,0,0,0,0,0
4210,D,Mina,6.5,0,0,0,0,0,0,0,0,0
4421,D,Augello,6.5,0,0,0,0,0,0,0,0,0
4433,D,Zortea,6.5,0,0,0,0,0,0,0,0,0
4461,D,Zappa,6.5,0,0,0,0,0,0,0,0,0
1871,C,Deiola,6.5,0,0,0,0,0,0,0,0,0
4870,C,Adopo,6,0,0,0,0,0,0,0,0,0
4965,C,Marin,6*,0,0,0,0,0,0,0,0,0
6232,C,Makoumbou,6,0,0,0,0,0,0,0,0,0
6640,C,Felici,5.5,0,0,0,0,0,0,0,0,0
247,A,Pavoletti,6*,0,0,0,0,0,0,0,0,0
4359,A,Piccoli,5.5,0,0,0,0,0,0,0,0,0
7016,A,Coman F.,6,0,0,0,0,0,0,1,0,0
1911,ALL,Nicola,7,0,0,0,0,0,0,0,0,0
Como,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
6966,P,Butez,6.5,0,0,0,0,0,0,0,0,0
418,D,Goldaniga,6,0,0,0,0,0,0,1,0,0
6230,D,Dossena,6,0,0,0,0,0,0,0,0,0
6867,D,Valle,6.5,0,0,0,0,0,0,0,0,0
