Voti Fantacalcio 1ª giornata di campionato,,,,,,,,,,,,
Solo su www.fantacalcio.it i voti ufficiali per la tua lega,,,,,,,,,,,,
QUESTO FILE NON PUO' ESSERE RIPRODOTTO NE' PUBBLICATO SU ALTRI SITI INTERNET,,,,,,,,,,,,
E' DA CONSIDERARSI AD USO PERSONALE ESCLUSIVO DEGLI ISCRITTI DI FANTACALCIO.IT,,,,,,,,,,,,
Atalanta,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
2792,P,Musso,6,0,0,0,0,0,0,0,0,0
554,D,Zappacosta,6.5,0,0,0,0,0,0,0,0,0
787,D,Djimsiti,6,0,0,0,0,0,0,0,0,0
5067,D,Bakker,6,0,0,0,0,0,0,0,0,0
5324,D,Godfrey,6,0,0,0,0,0,0,0,0,0
5354,D,Ruggeri,7,0,0,0,0,0,0,0,0,1
6046,D,Hien,6.5,0,0,0,0,0,0,0,0,0
6832,D,Palestra,6*,0,0,0,0,0,0,0,0,0
22,C,De Roon,6.5,0,0,0,0,0,0,1,0,0
2077,C,Pasalic,7,0,0,0,0,0,0,0,0,1
4947,C,Brescianini,8,2,0,0,0,0,0,0,0,0
5792,C,Ederson D.s.,6.5,0,0,0,0,0,0,1,0,0
6024,C,Sulemana I.,6*,0,0,0,0,0,0,0,0,0
6834,C,Cassa,6*,0,0,0,0,0,0,0,0,0
5995,A,De Ketelaere,6,0,0,0,0,0,0,0,0,0
6228,A,Retegui,7.5,1,0,0,0,1,0,0,0,0
684,ALL,Gasperini,7,0,0,0,0,0,0,0,0,0
Bologna,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
133,P,Skorupski,6.5,0,1,1,0,0,0,0,0,0
2653,D,Lykogiannis,6.5,0,0,0,0,0,0,0,0,0
4734,D,Miranda J.,6*,0,0,0,0,0,0,0,0,0
4982,D,Erlic,7,0,0,0,0,0,0,0,0,0
6066,D,Posch,6,0,0,0,0,0,0,0,0,0
6202,D,Beukema,6,0,0,0,0,0,0,0,0,0
788,C,Freuler,6.5,0,0,0,0,0,0,0,0,0
2167,C,Orsolini,7.5,0,0,0,0,1,0,0,0,0
5564,C,Ndoye,6,0,0,0,0,0,0,0,0,0
5784,C,Aebischer,6,0,0,0,0,0,0,0,0,0
6054,C,Moro N.,6,0,0,0,0,0,0,0,0,0
6206,C,Fabbian,6,0,0,0,0,0,0,0,0,0
2765,A,Odgaard,6*,0,0,0,0,0,0,0,0,0
4436,A,Cambiaghi,6,0,0,0,0,0,0,0,0,0
6572,A,Castro S.,6.5,0,0,0,0,0,0,0,0,0
6643,A,Dallinga,6*,0,0,0,0,0,0,0,0,0
4993,ALL,Italiano,6,0,0,0,0,0,0,0,0,0
Cagliari,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
574,P,Scuffet,6.5,0,0,0,0,0,0,0,0,0
393,D,Luperto,6,0,0,0,0,0,0,0,0,0
4421,D,Augello,5.5,0,0,0,0,0,0,0,0,0
4461,D,Zappa,6,0,0,0,0,0,0,0,0,0
6231,D,Azzi,6,0,0,0,0,0,0,1,0,0
6464,D,Wieteska,6.5,0,0,0,0,0,0,0,0,0
1871,C,Deiola,6,0,0,0,0,0,0,1,0,0
4870,C,Adopo,6,0,0,0,0,0,0,0,0,0
4965,C,Marin,6.5,0,0,0,0,0,0,0,0,0
6424,C,Prati,6,0,0,0,0,0,0,0,0,0
247,A,Pavoletti,6,0,0,0,0,0,0,0,0,0
1939,A,Lapadula,6*,0,0,0,0,0,0,0,0,0
4359,A,Piccoli,6,0,0,0,0,0,0,0,0,0
5297,A,Luvumbo,6,0,0,0,0,0,0,0,0,0
1911,ALL,Nicola,6.5,0,0,0,0,0,0,0,0,0
Como,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
387,P,Reina,6.5,0,3,0,0,0,0,0,0,0
134,D,Barba,5.5,0,0,0,0,0,0,0,0,0
418,D,Goldaniga,5,0,0,0,0,0,0,1,0,0
4386,D,Sala M.,5,0,0,0,0,0,0,1,0,0
5435,D,Moreno Alb.,5,0,0,0,0,0,0,0,0,0
376,C,Verdi,5.5,0,0,0,0,0,0,1,0,0
556,C,Baselli,6,0,0,0,0,0,0,0,0,0
4486,C,Strefezza,6,0,0,0,0,0,0,0,0,0
5559,C,Da Cunha,5.5,0,0,0,0,0,0,0,0,0
6162,C,Abildgaard,6*,0,0,0,0,0,0,0,0,0
6656,C,Braunoder,5.5,0,0,0,0,0,0,0,0,0
6676,C,Engelhardt,5,0,0,0,0,0,0,1,0,0
306,A,Cerri,5.5,0,0,0,0,0,0,0,0,0
441,A,Belotti,5.5,0,0,0,0,0,0,0,0,0
2155,A,Cutrone,5.5,0,0,0,0,0,0,0,0,0
6657,A,Gabrielloni,6,0,0,0,0,0,0,0,0,0
2485,ALL,Fabregas,5.5,0,0,0,0,0,0,0,0,0
Empoli,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
6125,P,Vasquez D.,6,0,0,0,0,0,0,0,0,0
770,D,Pezzella Giu.,6,0,0,0,0,0,0,0,0,0
4374,D,Walukiewicz,6.5,0,0,0,0,0,0,0,0,0
5010,D,Ismajli,6.5,0,0,0,0,0,0,0,0,0
5718,D,Viti,6,0,0,0,0,0,0,0,0,0
5804,D,Cacace,6*,0,0,0,0,0,0,0,0,0
2161,C,Haas,6*,0,0,0,0,0,0,0,0,0
4498,C,Henderson L.,6.5,0,0,0,0,0,0,0,0,0
4992,C,Gyasi,6,0,0,0,0,0,0,0,0,0
5457,C,Maleh,6,0,0,0,0,0,0,0,0,0
6010,C,Fazzini,6.5,0,0,0,0,0,0,1,0,0
2819,A,Caputo,6*,0,0,0,0,0,0,0,0,0
4463,A,Esposito Se.,6,0,0,0,0,0,0,0,0,0
4923,A,Colombo,5.5,0,0,0,0,0,0,0,0,0
6011,A,Ekong,6*,0,0,0,0,0,0,0,0,0
6119,A,Solbakken,6.5,0,0,0,0,0,0,0,0,0
2824,ALL,D'Aversa,6,0,0,0,0,0,0,0,0,0
Fiorentina,,,,,,,,,,,,
