Voti Fantacalcio 35ª giornata di campionato,,,,,,,,,,,,
Solo su www.fantacalcio.it i voti ufficiali per la tua lega,,,,,,,,,,,,
QUESTO FILE NON PUO' ESSERE RIPRODOTTO NE' PUBBLICATO SU ALTRI SITI INTERNET,,,,,,,,,,,,
E' DA CONSIDERARSI AD USO PERSONALE ESCLUSIVO DEGLI ISCRITTI DI FANTACALCIO.IT,,,,,,,,,,,,
Atalanta,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
4431,P,Carnesecchi,6.5,0,0,0,0,0,0,0,0,0
554,D,Zappacosta,6,0,0,0,0,0,0,0,0,0
695,D,Toloi,6.5,0,0,0,0,0,0,0,0,0
697,D,Cuadrado,6,0,0,0,0,0,0,1,0,0
787,D,Djimsiti,6.5,0,0,0,0,0,0,0,0,0
4887,D,Bellanova,6,0,0,0,0,0,0,0,0,0
5578,D,Kossounou,6,0,0,0,0,0,0,0,0,0
6046,D,Hien,6,0,0,0,0,0,0,1,0,0
22,C,De Roon,7,0,0,0,0,0,0,0,0,0
2077,C,Pasalic,6,0,0,0,0,0,0,0,0,0
4896,C,Maldini,5.5,0,0,0,0,0,0,0,0,0
4947,C,Brescianini,7,1,0,0,0,0,0,0,0,0
5792,C,Ederson D.s.,5.5,0,0,0,0,0,0,0,0,0
4730,A,Lookman,7,1,0,0,0,0,0,0,0,0
5995,A,De Ketelaere,7.5,2,0,0,0,0,0,0,0,0
6228,A,Retegui,7,0,0,0,0,0,0,0,0,2
684,ALL,Gasperini,7,0,0,0,0,0,0,0,0,0
Bologna,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
133,P,Skorupski,5,0,1,0,0,0,0,0,0,0
357,D,Calabria,6*,0,0,0,0,0,0,0,0,0
487,D,De Silvestri,6,0,0,0,0,0,0,0,0,0
2653,D,Lykogiannis,6,0,0,0,0,0,0,0,0,0
4734,D,Miranda J.,6,0,0,0,0,0,0,0,0,0
6042,D,Lucumi',7,0,0,0,0,0,0,0,0,0
6202,D,Beukema,6,0,0,0,0,0,0,0,0,0
788,C,Freuler,6.5,1,0,0,0,0,0,0,0,0
2167,C,Orsolini,6.5,0,0,0,0,0,0,0,0,0
5298,C,Pobega,6*,0,0,0,0,0,0,0,0,0
5858,C,Ferguson,6,0,0,0,0,0,0,0,0,0
2765,A,Odgaard,5,0,0,0,0,0,0,0,0,0
4436,A,Cambiaghi,6.5,0,0,0,0,0,0,0,0,0
6572,A,Castro S.,6*,0,0,0,0,0,0,1,0,0
6643,A,Dallinga,6,0,0,0,0,0,0,0,0,1
6895,A,Dominguez B.,6*,0,0,0,0,0,0,0,0,0
4993,ALL,Italiano,6.5,0,0,0,0,0,0,0,0,0
Cagliari,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
4360,P,Caprile,6,0,2,0,0,0,0,0,0,0
393,D,Luperto,5,0,0,0,0,0,0,0,0,0
2181,D,Palomino,5.5,0,0,0,0,0,0,0,0,0
4421,D,Augello,5.5,0,0,0,0,0,0,0,0,0
4433,D,Zortea,7,1,0,0,0,0,0,0,0,0
4461,D,Zappa,6,0,0,0,0,0,0,0,0,0
5701,D,Obert,5.5,0,0,0,0,0,0,0,0,0
1871,C,Deiola,6,0,0,0,0,0,0,0,0,0
4364,C,Gaetano,6,0,0,0,0,0,0,0,0,0
4870,C,Adopo,5.5,0,0,0,0,0,0,0,0,0
4965,C,Marin,6,0,0,0,0,0,0,0,0,0
6232,C,Makoumbou,6.5,0,0,0,0,0,0,0,0,1
6640,C,Felici,5.5,0,0,0,0,0,0,0,0,0
4359,A,Piccoli,5.5,0,0,0,0,0,0,0,0,0
5297,A,Luvumbo,6.5,0,0,0,0,0,0,0,0,0
7016,A,Coman F.,5.5,0,0,0,0,0,0,1,0,0
1911,ALL,Nicola,5.5,0,0,0,0,0,0,0,0,0
Como,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
6966,P,Butez,6.5,0,0,0,0,0,0,0,0,0
418,D,Goldaniga,6,0,0,0,0,0,0,0,0,0
4994,D,Vojvoda,6.5,0,0,0,0,0,0,0,0,0
5435,D,Moreno Alb.,6,0,0,0,0,0,0,0,0,0
6893,D,Kempf,6.5,0,0,0,0,0,0,1,0,0
6896,D,Van Der Brempt,6*,0,0,0,0,0,0,0,0,0
4486,C,Strefezza,7,1,0,0,0,0,0,0,0,0
4658,C,Ikone',5,0,0,0,0,0,0,0,0,0
5036,C,Caqueret,6.5,0,0,0,0,0,0,0,0,0
5559,C,Da Cunha,6,0,0,0,0,0,0,0,0,0
6151,C,Perrone,6,0,0,0,0,0,0,0,0,0
6676,C,Engelhardt,6*,0,0,0,0,0,0,0,0,0
6815,C,Fadera,6*,0,0,0,0,0,0,0,0,0
6875,C,Paz N.,6,0,0,0,0,0,0,0,0,0
2155,A,Cutrone,5.5,0,0,0,0,0,0,0,0,0
7017,A,Douvikas,6.5,0,0,0,0,0,0,0,0,0
2485,ALL,Fabregas,7,0,0,0,0,0,0,0,0,0
Empoli,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
6125,P,Vasquez D.,6.5,0,1,0,0,0,0,0,0,0
770,D,Pezzella Giu.,6,0,0,0,0,0,0,1,0,0
5010,D,Ismajli,6.5,0,0,0,0,0,0,0,0,0
5718,D,Viti,5,0,0,0,0,0,0,1,0,0
5804,D,Cacace,6,0,0,0,0,0,0,0,0,0
5856,D,Sambia,6.5,0,0,0,0,0,0,0,0,0
6537,D,Goglichidze,5.5,0,0,0,0,0,0,1,0,0
6809,D,Marianucci,6,0,0,0,0,0,0,0,0,0
4992,C,Gyasi,6,0,0,0,0,0,0,0,0,0
6010,C,Fazzini,6.5,0,0,0,0,0,0,0,0,0
4923,A,Colombo,4,0,0,0,0,0,0,0,1,0
6119,A,Solbakken,5.5,0,0,0,0,0,0,0,0,0
6935,A,Konate Is.,6,0,0,0,0,0,0,0,0,0
7044,A,Campaniello,6*,0,0,0,0,0,0,0,0,0
2824,ALL,D'Aversa,6,0,0,0,0,0,0,0,0,0
Fiorentina,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
2521,P,De Gea,6.5,0,1,0,0,0,0,0,0,0
2160,D,Gosens,5,0,0,0,0,0,0,0,0,0
4904,D,Mari',5.5,0,0,0,0,0,0,0,0,0
5449,D,Parisi,6,0,0,0,0,0,0,0,0,0
5603,D,Pongracic,5.5,0,0,0,0,0,0,0,0,0
6495,D,Comuzzo,6,0,0,0,0,0,0,0,0,0
1933,C,Mandragora,6,0,0,0,0,0,0,0,0,0
2766,C,Zaniolo,5,0,0,0,0,0,0,0,1,0
4465,C,Fagioli,6,0,0,0,0,0,0,0,0,0
5875,C,Adli,6*,0,0,0,0,0,0,0,0,0
5878,C,Colpani,6,0,0,0,0,0,0,0,0,0
6294,C,Ndour,5.5,0,0,0,0,0,0,1,0,0
