Voti Fantacalcio 20ª giornata di campionato,,,,,,,,,,,,
Solo su www.fantacalcio.it i voti ufficiali per la tua lega,,,,,,,,,,,,
QUESTO FILE NON PUO' ESSERE RIPRODOTTO NE' PUBBLICATO SU ALTRI SITI INTERNET,,,,,,,,,,,,
E' DA CONSIDERARSI AD USO PERSONALE ESCLUSIVO DEGLI ISCRITTI DI FANTACALCIO.IT,,,,,,,,,,,,
Atalanta,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
4431,P,Carnesecchi,6.5,0,0,0,0,0,0,0,0,0
554,D,Zappacosta,5.5,0,0,0,0,0,0,0,0,0
787,D,Djimsiti,6,0,0,0,0,0,0,0,0,0
2640,D,Kolasinac,6,0,0,0,0,0,0,1,0,0
4887,D,Bellanova,6,0,0,0,0,0,0,0,0,0
5526,D,Scalvini,6,0,0,0,0,0,0,1,0,0
5578,D,Kossounou,6,0,0,0,0,0,0,0,0,0
6046,D,Hien,6,0,0,0,0,0,0,0,0,0
22,C,De Roon,6,0,0,0,0,0,0,0,0,0
2077,C,Pasalic,5,0,0,0,0,0,0,0,0,0
2766,C,Zaniolo,5.5,0,0,0,0,0,0,0,0,0
4947,C,Brescianini,6*,0,0,0,0,0,0,0,0,0
5119,C,Samardzic,6,0,0,0,0,0,0,0,0,0
5792,C,Ederson D.s.,5.5,0,0,0,0,0,0,0,0,0
4730,A,Lookman,5.5,0,0,0,0,0,0,0,0,0
5995,A,De Ketelaere,5,0,0,0,0,0,0,0,0,0
684,ALL,Gasperini,5.5,0,0,0,0,0,0,0,0,0
Bologna,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
133,P,Skorupski,5.5,0,2,0,0,0,0,0,0,0
4734,D,Miranda J.,6,0,0,0,0,0,0,1,0,0
5678,D,Holm,6.5,0,0,0,0,0,0,1,0,0
6042,D,Lucumi',5.5,0,0,0,0,0,0,1,0,0
6066,D,Posch,6*,0,0,0,0,0,0,0,0,0
6202,D,Beukema,7,0,0,0,0,0,0,0,0,0
788,C,Freuler,6.5,0,0,0,0,0,0,0,0,0
2167,C,Orsolini,5.5,0,0,0,0,0,0,0,0,0
5564,C,Ndoye,6,0,0,0,0,0,0,0,0,0
5858,C,Ferguson,7,0,0,0,0,1,0,0,0,0
6112,C,Iling Junior,6*,0,0,0,0,0,0,0,0,0
2765,A,Odgaard,6.5,0,0,0,0,0,0,0,0,1
6572,A,Castro S.,6*,0,0,0,0,0,0,0,0,0
6643,A,Dallinga,7,1,0,0,0,0,0,1,0,0
6895,A,Dominguez B.,6.5,0,0,0,0,0,0,0,0,0
4993,ALL,Italiano,5.5,0,0,0,0,0,0,0,0,0
Cagliari,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
4360,P,Caprile,7,0,1,0,0,0,0,0,0,0
393,D,Luperto,6,0,0,0,0,0,0,0,0,0
2181,D,Palomino,5,0,0,0,0,0,0,0,0,0
4421,D,Augello,6*,0,0,0,0,0,0,0,0,0
4433,D,Zortea,7.5,1,0,0,0,0,0,0,0,0
4461,D,Zappa,6.5,0,0,0,0,0,0,0,0,0
5701,D,Obert,5.5,0,0,0,0,0,0,0,0,0
6464,D,Wieteska,5.5,0,0,0,0,0,0,0,0,0
440,C,Viola,5.5,0,0,0,0,0,0,0,0,0
1871,C,Deiola,6,0,0,0,0,0,0,0,0,0
4870,C,Adopo,6,0,0,0,0,0,0,0,0,0
4965,C,Marin,6*,0,0,0,0,0,0,0,0,0
6232,C,Makoumbou,6.5,0,0,0,0,0,0,0,0,0
6640,C,Felici,7,0,0,0,0,0,0,1,0,1
4359,A,Piccoli,6.5,0,0,0,0,0,0,1,0,0
1911,ALL,Nicola,6.5,0,0,0,0,0,0,0,0,0
Como,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
6966,P,Butez,6.5,0,1,0,0,0,0,0,0,0
5435,D,Moreno Alb.,5.5,0,0,0,0,0,0,0,0,0
6230,D,Dossena,6.5,0,0,0,0,0,0,0,0,0
6893,D,Kempf,5.5,0,0,0,0,0,0,1,0,0
6896,D,Van Der Brempt,6,0,0,0,0,0,0,0,0,0
1976,C,Mazzitelli,6*,0,0,0,0,0,0,0,0,0
4486,C,Strefezza,6.5,0,0,0,0,0,0,0,0,1
5559,C,Da Cunha,6,0,0,0,0,0,0,0,0,0
5725,C,Kone B.,6*,0,0,0,0,0,0,0,0,0
6676,C,Engelhardt,6,0,0,0,0,0,0,1,0,0
6815,C,Fadera,6.5,0,0,0,0,0,0,0,0,0
6875,C,Paz N.,5.5,0,0,0,0,0,0,0,0,0
6967,C,Diao,6,0,0,0,0,0,0,1,0,0
441,A,Belotti,6,0,0,0,0,0,0,0,0,0
2155,A,Cutrone,7,1,0,0,0,0,0,0,0,0
2485,ALL,Fabregas,6,0,0,0,0,0,0,0,0,0
Empoli,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
6919,P,Seghetti,6.5,0,3,0,0,0,0,0,0,0
358,D,De Sciglio,5.5,0,0,0,0,0,0,0,0,0
770,D,Pezzella Giu.,5.5,0,0,0,0,0,0,0,0,0
5010,D,Ismajli,4.5,0,0,0,0,0,0,0,0,0
5718,D,Viti,5,0,0,0,0,0,0,0,0,0
5804,D,Cacace,6.5,1,0,0,0,0,0,0,0,0
5856,D,Sambia,6*,0,0,0,0,0,0,0,0,0
6537,D,Goglichidze,5,0,0,0,0,0,0,0,0,0
27,C,Grassi,5.5,0,0,0,0,0,0,0,0,0
4498,C,Henderson L.,6*,0,0,0,0,0,0,0,0,0
4992,C,Gyasi,6,0,0,0,0,0,0,0,0,1
5457,C,Maleh,5,0,0,0,0,0,0,0,0,0
6010,C,Fazzini,6,0,0,0,0,0,0,0,0,0
4463,A,Esposito Se.,6,0,0,0,0,0,0,0,0,0
4923,A,Colombo,5.5,0,0,0,0,0,0,0,0,0
2824,ALL,D'Aversa,5,0,0,0,0,0,0,0,0,0
Fiorentina,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
2521,P,De Gea,6,0,2,0,0,0,0,0,0,0
2160,D,Gosens,5.5,0,0,0,0,0,0,0,0,0
4378,D,Ranieri L.,5.5,0,0,0,0,0,0,1,0,0
