Voti Fantacalcio 14ª giornata di campionato,,,,,,,,,,,,
Solo su www.fantacalcio.it i voti ufficiali per la tua lega,,,,,,,,,,,,
QUESTO FILE NON PUO' ESSERE RIPRODOTTO NE' PUBBLICATO SU ALTRI SITI INTERNET,,,,,,,,,,,,
E' DA CONSIDERARSI AD USO PERSONALE ESCLUSIVO DEGLI ISCRITTI DI FANTACALCIO.IT,,,,,,,,,,,,
Atalanta,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
4431,P,Carnesecchi,6,0,0,0,0,0,0,0,0,0
697,D,Cuadrado,6.5,0,0,0,0,0,0,0,0,1
787,D,Djimsiti,6*,0,0,0,0,0,0,0,0,0
2640,D,Kolasinac,6,0,0,0,0,0,0,1,0,0
4887,D,Bellanova,6,0,0,0,0,0,0,0,0,0
5354,D,Ruggeri,6,0,0,0,0,0,0,0,0,0
5578,D,Kossounou,6.5,0,0,0,0,0,0,0,0,0
6046,D,Hien,6.5,0,0,0,0,0,0,1,0,0
22,C,De Roon,7,1,0,0,0,0,0,0,0,0
2766,C,Zaniolo,7,1,0,0,0,0,0,1,0,0
4947,C,Brescianini,6.5,0,0,0,0,0,0,0,0,0
5119,C,Samardzic,6,0,0,0,0,0,0,0,0,0
5792,C,Ederson D.s.,6,0,0,0,0,0,0,0,0,0
4730,A,Lookman,5.5,0,0,0,0,0,0,0,0,0
5995,A,De Ketelaere,5.5,0,0,0,0,0,0,0,0,0
6228,A,Retegui,5.5,0,0,0,0,0,0,0,0,0
684,ALL,Gasperini,6.5,0,0,0,0,0,0,0,0,0
Bologna,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
133,P,Skorupski,6,0,0,0,0,0,0,0,0,0
487,D,De Silvestri,6,0,0,0,0,0,0,0,0,0
4734,D,Miranda J.,6.5,0,0,0,0,0,0,0,0,0
5678,D,Holm,6,0,0,0,0,0,0,0,0,0
6042,D,Lucumi',6,0,0,0,0,0,0,0,0,0
6202,D,Beukema,6.5,0,0,0,0,0,0,0,0,0
788,C,Freuler,6,0,0,0,0,0,0,0,0,0
2167,C,Orsolini,7.5,0,0,0,0,1,0,0,0,1
5425,C,Urbanski,6*,0,0,0,0,0,0,0,0,0
5564,C,Ndoye,8,1,0,0,0,1,0,0,0,0
6054,C,Moro N.,6.5,0,0,0,0,0,0,0,0,0
6459,C,Karlsson,5.5,0,0,0,0,0,0,0,0,0
2765,A,Odgaard,6.5,0,0,0,0,0,0,0,0,0
6572,A,Castro S.,6,0,0,0,0,0,0,0,0,0
6643,A,Dallinga,6.5,0,0,0,0,0,0,0,0,0
6895,A,Dominguez B.,6*,0,0,0,0,0,0,0,0,0
4993,ALL,Italiano,7,0,0,0,0,0,0,0,0,0
Cagliari,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
6650,P,Sherri,6,0,0,0,0,0,0,0,0,0
393,D,Luperto,6.5,0,0,0,0,0,0,0,0,0
4210,D,Mina,7,0,0,0,0,0,0,0,0,0
4421,D,Augello,6.5,0,0,0,0,0,0,0,0,0
4433,D,Zortea,6,0,0,0,0,0,0,0,0,0
4461,D,Zappa,6,0,0,0,0,0,0,0,0,0
5701,D,Obert,6*,0,0,0,0,0,0,0,0,0
440,C,Viola,6,0,0,0,0,0,0,0,0,0
4870,C,Adopo,6,0,0,0,0,0,0,0,0,0
4965,C,Marin,5.5,0,0,0,0,0,0,1,0,0
6232,C,Makoumbou,6,0,0,0,0,0,0,0,0,0
6640,C,Felici,7,0,0,0,0,0,0,0,0,1
247,A,Pavoletti,6*,0,0,0,0,0,0,0,0,0
