Voti Fantacalcio 8ª giornata di campionato,,,,,,,,,,,,
Solo su www.fantacalcio.it i voti ufficiali per la tua lega,,,,,,,,,,,,
QUESTO FILE NON PUO' ESSERE RIPRODOTTO NE' PUBBLICATO SU ALTRI SITI INTERNET,,,,,,,,,,,,
E' DA CONSIDERARSI AD USO PERSONALE ESCLUSIVO DEGLI ISCRITTI DI FANTACALCIO.IT,,,,,,,,,,,,
Atalanta,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
4431,P,Carnesecchi,6,0,0,0,0,0,0,0,0,0
554,D,Zappacosta,6.5,0,0,0,0,0,0,0,0,0
697,D,Cuadrado,6,0,0,0,0,0,0,0,0,0
787,D,Djimsiti,6,0,0,0,0,0,0,0,0,0
4887,D,Bellanova,6.5,0,0,0,0,0,0,0,0,0
5354,D,Ruggeri,6,0,0,0,0,0,0,0,0,0
6046,D,Hien,6.5,0,0,0,0,0,0,0,0,0
22,C,De Roon,6,0,0,0,0,0,0,0,0,0
2077,C,Pasalic,7,1,0,0,0,0,0,0,0,0
2766,C,Zaniolo,5.5,0,0,0,0,0,0,0,0,0
5119,C,Samardzic,6.5,0,0,0,0,0,0,0,0,0
5792,C,Ederson D.s.,6,0,0,0,0,0,0,1,0,0
6024,C,Sulemana I.,6,0,0,0,0,0,0,0,0,0
4730,A,Lookman,6.5,0,0,0,0,0,0,0,0,0
5995,A,De Ketelaere,6,0,0,0,0,0,0,0,0,0
6228,A,Retegui,7,1,0,0,0,0,0,0,0,0
684,ALL,Gasperini,7,0,0,0,0,0,0,0,0,0
Bologna,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
2722,P,Ravaglia F.,6,0,2,0,0,0,0,0,0,0
4734,D,Miranda J.,5.5,0,0,0,0,0,0,0,0,0
5498,D,Casale,4.5,0,0,0,0,0,0,0,0,0
5678,D,Holm,6*,0,0,0,0,0,0,0,0,0
6066,D,Posch,6,0,0,0,0,0,0,0,0,0
6202,D,Beukema,5.5,0,0,0,0,0,0,0,0,0
788,C,Freuler,6.5,0,0,0,0,0,0,0,0,0
2167,C,Orsolini,7,1,0,0,0,0,0,0,0,0
6054,C,Moro N.,7,0,0,0,0,0,0,0,0,1
6206,C,Fabbian,6,0,0,0,0,0,0,0,0,0
6459,C,Karlsson,5.5,0,0,0,0,0,0,0,0,0
2765,A,Odgaard,7,1,0,0,0,0,0,0,0,0
6572,A,Castro S.,5.5,0,0,0,0,0,0,0,0,0
6643,A,Dallinga,6,0,0,0,0,0,0,0,0,0
6895,A,Dominguez B.,6,0,0,0,0,0,0,0,0,0
4993,ALL,Italiano,5.5,0,0,0,0,0,0,0,0,0
Cagliari,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
574,P,Scuffet,6,0,2,0,0,0,0,0,0,0
393,D,Luperto,6.5,0,0,0,0,0,0,0,0,1
2181,D,Palomino,7.5,1,0,0,0,0,0,0,0,0
4210,D,Mina,6,0,0,0,0,0,0,0,0,0
4421,D,Augello,6.5,0,0,0,0,0,0,0,0,0
4433,D,Zortea,5.5,0,0,0,0,0,0,0,0,0
4461,D,Zappa,6.5,0,0,0,0,0,0,0,0,0
440,C,Viola,7,1,0,0,0,0,0,0,0,0
1871,C,Deiola,6*,0,0,0,0,0,0,0,0,0
4364,C,Gaetano,6.5,0,0,0,0,0,0,0,0,0
4870,C,Adopo,5.5,0,0,0,0,0,0,1,0,0
4965,C,Marin,6.5,0,0,0,0,0,0,0,0,0
6232,C,Makoumbou,5,0,0,0,0,0,0,0,0,0
1939,A,Lapadula,6,0,0,0,0,0,0,0,0,0
4359,A,Piccoli,6.5,0,0,0,0,0,0,0,0,0
5297,A,Luvumbo,6,0,0,0,0,0,0,0,0,0
1911,ALL,Nicola,7,0,0,0,0,0,0,0,0,0
Como,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
761,P,Audero,6,0,1,0,0,0,0,0,0,0
418,D,Goldaniga,6*,0,0,0,0,0,0,0,0,0
4284,D,Sergi Roberto,6,0,0,0,0,0,0,1,0,0
4386,D,Sala M.,6,0,0,0,0,0,0,0,0,0
5435,D,Moreno Alb.,6,0,0,0,0,0,0,0,0,0
6230,D,Dossena,5.5,0,0,0,0,0,0,0,0,0
6893,D,Kempf,6.5,0,0,0,0,0,0,0,0,0
6896,D,Van Der Brempt,5.5,0,0,0,0,0,0,0,0,0
1976,C,Mazzitelli,6,0,0,0,0,0,0,0,0,0
4486,C,Strefezza,6.5,0,0,0,0,0,0,0,0,0
5559,C,Da Cunha,6,0,0,0,0,0,0,0,0,0
6151,C,Perrone,6,0,0,0,0,0,0,0,0,0
6815,C,Fadera,6.5,0,0,0,0,0,0,0,0,1
6875,C,Paz N.,7,1,0,0,0,0,0,0,0,0
2155,A,Cutrone,6,0,0,0,0,0,0,0,0,0
6657,A,Gabrielloni,6*,0,0,0,0,0,0,0,0,0
2485,ALL,Fabregas,6.5,0,0,0,0,0,0,0,0,0
Empoli,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
