Voti Fantacalcio 17ª giornata di campionato,,,,,,,,,,,,
Solo su www.fantacalcio.it i voti ufficiali per la tua lega,,,,,,,,,,,,
QUESTO FILE NON PUO' ESSERE RIPRODOTTO NE' PUBBLICATO SU ALTRI SITI INTERNET,,,,,,,,,,,,
E' DA CONSIDERARSI AD USO PERSONALE ESCLUSIVO DEGLI ISCRITTI DI FANTACALCIO.IT,,,,,,,,,,,,
Atalanta,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
4431,P,Carnesecchi,6,0,2,0,0,0,0,0,0,0
554,D,Zappacosta,6.5,0,0,0,0,0,0,0,0,1
697,D,Cuadrado,6*,0,0,0,0,0,0,0,0,0
787,D,Djimsiti,5,0,0,0,0,0,0,0,0,0
2640,D,Kolasinac,5.5,0,0,0,0,0,0,0,0,0
4887,D,Bellanova,6,0,0,0,0,0,0,0,0,0
5354,D,Ruggeri,6.5,0,0,0,0,0,0,0,0,0
5578,D,Kossounou,6,0,0,0,0,0,0,0,0,0
6046,D,Hien,6,0,0,0,0,0,0,0,0,0
2077,C,Pasalic,6.5,0,0,0,0,0,0,0,0,0
2766,C,Zaniolo,6.5,0,0,0,0,0,0,1,0,1
5119,C,Samardzic,6.5,0,0,0,0,0,0,0,0,0
5792,C,Ederson D.s.,6,0,0,0,0,0,0,0,0,0
4730,A,Lookman,6.5,1,0,0,0,0,0,0,0,0
5995,A,De Ketelaere,8,2,0,0,0,0,0,0,0,0
6228,A,Retegui,6,0,0,0,0,0,0,0,0,0
684,ALL,Gasperini,6.5,0,0,0,0,0,0,0,0,0
Bologna,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
2722,P,Ravaglia F.,6.5,0,0,0,0,0,0,0,0,0
2653,D,Lykogiannis,6*,0,0,0,0,0,0,0,0,0
4734,D,Miranda J.,7,0,0,0,0,0,0,1,0,1
5498,D,Casale,6*,0,0,0,0,0,0,0,0,0
5678,D,Holm,7,0,0,0,0,0,0,0,0,0
6042,D,Lucumi',6.5,0,0,0,0,0,0,0,0,0
6202,D,Beukema,6.5,0,0,0,0,0,0,0,0,0
788,C,Freuler,7,0,0,0,0,0,0,1,0,0
2167,C,Orsolini,6.5,0,0,0,0,0,0,0,0,0
5298,C,Pobega,7,1,0,0,0,0,0,0,0,0
5858,C,Ferguson,5.5,0,0,0,0,0,0,0,0,0
6206,C,Fabbian,6,0,0,0,0,0,0,0,0,0
2765,A,Odgaard,6,0,0,0,0,0,0,0,0,0
6572,A,Castro S.,5,0,0,0,1,0,0,0,0,0
6643,A,Dallinga,7,1,0,0,0,0,0,0,0,0
