Voti Fantacalcio 5ª giornata di campionato,,,,,,,,,,,,
Solo su www.fantacalcio.it i voti ufficiali per la tua lega,,,,,,,,,,,,
QUESTO FILE NON PUO' ESSERE RIPRODOTTO NE' PUBBLICATO SU ALTRI SITI INTERNET,,,,,,,,,,,,
E' DA CONSIDERARSI AD USO PERSONALE ESCLUSIVO DEGLI ISCRITTI DI FANTACALCIO.IT,,,,,,,,,,,,
Atalanta,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
4431,P,Carnesecchi,6.5,0,3,0,0,0,0,0,0,0
554,D,Zappacosta,7,1,0,0,0,0,0,0,0,0
697,D,Cuadrado,5.5,0,0,0,0,0,0,0,0,0
787,D,Djimsiti,5.5,0,0,0,0,0,0,0,0,0
2640,D,Kolasinac,5.5,0,0,0,0,0,1,0,0,0
4887,D,Bellanova,5,0,0,0,0,0,0,0,0,0
5578,D,Kossounou,5,0,0,0,0,0,0,0,0,0
22,C,De Roon,5,0,0,0,0,0,0,1,0,0
2077,C,Pasalic,6,0,0,0,0,0,0,0,0,0
4947,C,Brescianini,5.5,0,0,0,0,0,0,0,0,0
5119,C,Samardzic,5.5,0,0,0,0,0,0,0,0,0
5792,C,Ederson D.s.,5.5,0,0,0,0,0,0,0,0,0
4730,A,Lookman,6,0,0,0,0,1,0,0,0,0
5995,A,De Ketelaere,5.5,0,0,0,0,0,0,0,0,0
6228,A,Retegui,5.5,0,0,0,0,0,0,0,0,0
6912,A,Vlahovic V.,6,0,0,0,0,0,0,0,0,0
684,ALL,Gasperini,4.5,0,0,0,0,0,0,0,0,0
Bologna,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
2722,P,Ravaglia F.,5,0,1,0,0,0,0,0,0,0
487,D,De Silvestri,5.5,0,0,0,0,0,0,0,0,0
2653,D,Lykogiannis,6.5,0,0,0,0,0,0,0,0,1
5498,D,Casale,6,0,0,0,0,0,0,0,0,0
6042,D,Lucumi',6,0,0,0,0,0,0,1,0,0
6066,D,Posch,6*,0,0,0,0,0,0,0,0,0
6202,D,Beukema,6,0,0,0,0,0,0,0,0,0
