Voti Fantacalcio 28ª giornata di campionato,,,,,,,,,,,,
Solo su www.fantacalcio.it i voti ufficiali per la tua lega,,,,,,,,,,,,
QUESTO FILE NON PUO' ESSERE RIPRODOTTO NE' PUBBLICATO SU ALTRI SITI INTERNET,,,,,,,,,,,,
E' DA CONSIDERARSI AD USO PERSONALE ESCLUSIVO DEGLI ISCRITTI DI FANTACALCIO.IT,,,,,,,,,,,,
Atalanta,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
4431,P,Carnesecchi,6.5,0,0,0,0,0,0,0,0,0
554,D,Zappacosta,7,1,0,0,0,0,0,0,0,0
695,D,Toloi,6*,0,0,0,0,0,0,0,0,0
697,D,Cuadrado,6.5,0,0,0,0,0,0,0,0,0
787,D,Djimsiti,6.5,0,0,0,0,0,0,0,0,0
2640,D,Kolasinac,7,0,0,0,0,0,0,0,0,1
4887,D,Bellanova,6.5,0,0,0,0,0,0,0,0,0
6046,D,Hien,6.5,0,0,0,0,0,0,1,0,0
22,C,De Roon,7.5,1,0,0,0,0,0,0,0,0
2077,C,Pasalic,6*,0,0,0,0,0,0,0,0,0
4947,C,Brescianini,6.5,0,0,0,0,0,0,0,0,0
5119,C,Samardzic,6*,0,0,0,0,0,0,0,0,0
5792,C,Ederson D.s.,7,0,0,0,0,0,0,0,0,0
4730,A,Lookman,7.5,1,0,0,0,0,0,0,0,0
5995,A,De Ketelaere,6.5,0,0,0,0,0,0,0,0,0
6228,A,Retegui,7,0,0,0,0,1,0,0,0,0
684,ALL,Gasperini,8,0,0,0,0,0,0,0,0,0
Bologna,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
133,P,Skorupski,6,0,1,0,0,0,0,0,0,0
357,D,Calabria,6.5,0,0,0,0,0,0,0,0,1
4734,D,Miranda J.,6,0,0,0,0,0,0,0,0,0
6042,D,Lucumi',6.5,0,0,0,0,0,0,0,0,0
6202,D,Beukema,5.5,0,0,0,0,0,0,0,0,0
2167,C,Orsolini,5.5,0,0,0,0,0,0,0,0,0
5564,C,Ndoye,6.5,0,0,0,0,0,0,0,0,0
5784,C,Aebischer,6,0,0,0,0,0,0,0,0,0
5858,C,Ferguson,6,0,0,0,0,0,0,0,0,0
6054,C,Moro N.,6,0,0,0,0,0,0,1,0,0
2765,A,Odgaard,7,1,0,0,0,0,0,0,0,0
4436,A,Cambiaghi,7,1,0,0,0,0,0,0,0,0
6572,A,Castro S.,5.5,0,0,0,0,0,0,0,0,0
6643,A,Dallinga,5.5,0,0,0,0,0,0,0,0,0
6895,A,Dominguez B.,6.5,0,0,0,0,0,0,0,0,1
4993,ALL,Italiano,6.5,0,0,0,0,0,0,0,0,0
Cagliari,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
4360,P,Caprile,6,0,1,0,0,0,0,0,0,0
393,D,Luperto,5.5,0,0,0,0,0,0,0,0,0
4210,D,Mina,6.5,0,0,0,0,0,0,0,0,0
4421,D,Augello,5.5,0,0,0,0,0,0,0,0,0
4433,D,Zortea,6,0,0,0,0,0,0,0,0,0
4461,D,Zappa,5.5,0,0,0,0,0,0,0,0,0
5701,D,Obert,6,0,0,0,0,0,0,0,0,0
440,C,Viola,7,1,0,0,0,0,0,0,0,0
1871,C,Deiola,5.5,0,0,0,0,0,0,1,0,0
4364,C,Gaetano,5.5,0,0,0,0,0,0,0,0,0
4870,C,Adopo,6*,0,0,0,0,0,0,0,0,0
6232,C,Makoumbou,6,0,0,0,0,0,0,0,0,0
6424,C,Prati,6,0,0,0,0,0,0,0,0,0
247,A,Pavoletti,6*,0,0,0,0,0,0,1,0,0
4359,A,Piccoli,6.5,0,0,0,0,0,0,0,0,1
7016,A,Coman F.,6.5,0,0,0,0,0,0,0,0,0
1911,ALL,Nicola,6,0,0,0,0,0,0,0,0,0
Como,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
6966,P,Butez,6.5,0,1,0,0,0,0,0,0,0
418,D,Goldaniga,6,0,0,0,0,0,0,0,0,0
6230,D,Dossena,6.5,0,0,0,0,0,0,0,0,0
6867,D,Valle,6,0,0,0,0,0,0,0,0,0
6944,D,Jack,5,0,0,0,0,0,0,1,0,0
7014,D,Smolcic I.,5.5,0,0,0,0,0,0,0,0,0
4486,C,Strefezza,6,0,0,0,0,0,0,0,0,0
4658,C,Ikone',7,1,0,0,0,0,0,0,0,0
5036,C,Caqueret,6.5,0,0,0,0,0,0,0,0,0
5559,C,Da Cunha,6,0,0,0,0,0,0,0,0,0
6151,C,Perrone,6.5,0,0,0,0,0,0,0,0,0
6676,C,Engelhardt,6*,0,0,0,0,0,0,0,0,0
6815,C,Fadera,6*,0,0,0,0,0,0,0,0,0
6875,C,Paz N.,6,0,0,0,0,0,0,0,0,0
6967,C,Diao,5.5,0,0,0,0,0,0,0,0,0
7017,A,Douvikas,6,0,0,0,0,0,0,1,0,0
2485,ALL,Fabregas,6.5,0,0,0,0,0,0,0,0,0
Empoli,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
2211,P,Silvestri,6.5,0,1,0,0,0,0,0,0,0
358,D,De Sciglio,5.5,0,0,0,0,0,0,0,0,0
770,D,Pezzella Giu.,6,0,0,0,0,0,0,0,0,0
5804,D,Cacace,6,0,0,0,0,0,0,0,0,0
5856,D,Sambia,6,0,0,0,0,0,0,0,0,0
6537,D,Goglichidze,5.5,0,0,0,0,0,0,0,0,0
6809,D,Marianucci,6,0,0,0,0,0,0,0,0,0
27,C,Grassi,5.5,0,0,0,0,0,0,0,0,0
4498,C,Henderson L.,5,0,0,0,0,0,0,0,0,0
4992,C,Gyasi,6,0,0,0,0,0,0,0,0,0
5397,C,Kovalenko,6,0,0,0,0,0,0,0,0,0
2762,A,Kouame',5.5,0,0,0,0,0,0,0,0,0
4463,A,Esposito Se.,5.5,0,0,0,0,0,0,0,0,0
4923,A,Colombo,5,0,0,0,0,0,0,0,0,0
6935,A,Konate Is.,6,0,0,0,0,0,0,0,0,0
7044,A,Campaniello,6*,0,0,0,0,0,0,0,0,0
2824,ALL,D'Aversa,6,0,0,0,0,0,0,0,0,0
Fiorentina,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
2521,P,De Gea,6,0,2,0,0,0,0,0,0,0
2160,D,Gosens,6,0,0,0,0,0,0,0,0,0
4378,D,Ranieri L.,5.5,0,0,0,0,0,0,0,0,0
4904,D,Mari',5,0,0,0,0,0,0,0,0,0
5449,D,Parisi,5.5,0,0,0,0,0,0,0,0,0
5603,D,Pongracic,5.5,0,0,0,0,0,0,1,0,0
5885,D,Dodo',5.5,0,0,0,0,0,0,0,0,0
6495,D,Comuzzo,5,0,0,0,0,0,0,0,0,0
6890,D,Moreno M.,6,0,0,0,0,0,0,0,0,0
333,C,Cataldi,5.5,0,0,0,0,0,0,0,0,0
4465,C,Fagioli,6.5,0,0,0,0,0,0,0,0,0
6294,C,Ndour,5.5,0,0,0,0,0,0,0,0,0
2097,A,Kean,6.5,0,0,0,0,0,0,0,0,1
5800,A,Gudmundsson A.,6.5,1,0,0,0,0,0,1,0,0
6409,A,Beltran L.,6*,0,0,0,0,0,0,0,0,0
1909,ALL,Palladino,5.5,0,0,0,0,0,0,0,0,0
Genoa,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
188,P,Leali,5.5,0,1,0,0,0,0,0,0,0
2593,D,Martin,6.5,0,0,0,0,0,0,0,0,0
5514,D,Vasquez,5.5,0,0,0,0,0,0,0,0,0
5527,D,Zanoli,6,0,0,0,0,0,0,0,0,0
5739,D,De Winter,6,0,0,0,0,0,0,0,0,0
6244,D,Matturro,6,0,0,0,0,0,0,0,0,0
6814,D,Norton-Cuffy,5.5,0,0,0,0,0,0,0,0,0
170,C,Badelj,6,0,0,0,0,0,0,1,0,0
4427,C,Malinovskyi,6,0,0,0,0,0,0,0,0,0
4677,C,Cornet,7,1,0,0,0,0,0,0,0,0
5791,C,Frendrup,6,0,0,0,0,0,0,0,0,0
5813,C,Miretti,6.5,0,0,0,0,0,0,0,0,0
6917,C,Masini,6.5,0,0,0,0,0,0,1,0,0
2038,A,Pinamonti,5.5,0,0,0,0,0,0,0,0,0
5506,A,Ekuban,6.5,0,0,0,0,0,0,0,0,1
6822,A,Ekhator,5,0,0,0,0,0,0,0,0,0
6943,ALL,Vieira P.,6,0,0,0,0,0,0,0,0,0
Inter,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
5116,P,Martinez Jo.,6,0,2,0,0,0,0,0,0,0
322,D,De Vrij,5.5,0,0,0,0,0,0,0,0,0
513,D,Acerbi,6,0,0,0,0,0,0,0,0,0
2120,D,Bastoni,7,0,0,0,0,0,0,0,0,0
4177,D,Pavard,5.5,0,0,0,0,0,0,0,0,0
5513,D,Dumfries,6.5,0,0,0,0,0,0,0,0,1
5877,D,Carlos Augusto,6.5,0,0,0,0,0,0,0,0,0
6217,D,Bisseck,6.5,0,0,0,0,0,0,0,0,1
152,C,Zielinski,6*,0,0,0,0,0,0,0,0,0
1870,C,Barella,6,0,0,0,0,0,0,0,0,0
2194,C,Calhanoglu,7,1,0,0,0,0,0,0,0,0
2529,C,Mkhitaryan,6,0,0,0,0,0,0,0,0,0
495,A,Correa,6,0,0,0,0,0,0,0,0,0
2764,A,Martinez L.,6,0,0,0,0,0,0,0,0,0
4268,A,Arnautovic,6.5,1,0,0,0,0,0,0,0,0
4871,A,Thuram,5.5,0,0,0,0,0,0,0,0,0
826,ALL,Inzaghi S.,6.5,0,0,0,0,0,0,0,0,0
Juventus,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
5876,P,Di Gregorio,6.5,0,4,0,0,0,0,0,0,0
